"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1566.35,5638.02,1106.84,1561.45
1375.01,8386.49,554.085,1650.18
1821.29,5320.48,2643.12,1611.16
1232.6,8865,1802.37,870.751
885.792,4871.85,-510.976,1327.1
1061.36,7807.78,1741.55,1132.69
1370.71,6550.04,4013.46,2027.5
1800.98,6930.13,443.31,1490.34
1996.84,8760.24,2217.74,3354.85
613.468,7015.99,626.575,2060.95
964.013,4473.8,928.844,569.695
789.947,8305.49,2091.57,1407.15
541.613,5906.74,1672.46,1421.19
971.498,5748.43,413.093,1399.41
1456.48,8732.34,-1767.33,2171.01
1277.18,9114.97,3545.98,2470.16
1239.63,6349.15,1436.6,988.393
2260.97,36540.5,2707.68,4336.48
1793.21,8771.69,1473.63,3158.21
1365.74,6071.45,3662.9,1844.74
1282.16,6612.51,1343.61,1411.39
788.086,11930.6,1196.63,1794.28
1442.74,10755.1,1411.57,2099.2
1133.86,7065.89,3734.21,1711.05
868.217,8386.79,2898.94,1517.78
1880.74,8972.41,980.65,1489.07
724.071,5143.49,1512.65,1549.84
997.312,8338.4,2235.07,1006.74
2493.97,9741.51,429.291,1971.6
1263.63,5740.53,2665.83,2458.06
918.73,9196.81,2167.52,1267.04
1047.63,4842.49,466.291,1568.71
1008.53,8762.24,2341.22,1698.53
1572.45,13904.1,2869.87,2421.6
992.378,10156.2,129.636,1140.96
1402.26,7812.62,1005.79,1931.23
973.861,6483.86,2801.83,2749.13
817.202,4594.5,1081.93,1123.3
1290.64,5737.61,483.441,2018.04
885.147,6947.91,263.408,2348.69
1437.03,6997.77,1014.8,1578.13
1432.93,10385,2262.33,2401.86
1636.65,9921.44,2032.57,2276.56
1349.6,7512.29,2268.23,1729.7
694.047,5665.34,1938.38,900.871
1566.07,9642.55,1230.67,1459.92
1181.38,8857.14,498.805,2132.9
1258.3,7433.22,1203.01,2259.91
2303.66,9167.38,3141.76,1640.71
691.905,5757.42,405.862,1358.27
1078.73,6971.16,3400.93,1211.44
1470.43,7054.24,384.506,561.553
1255.32,9174.96,586.941,1988.74
1113.49,6616.13,1249,2157.23
1497.02,9749.39,2024.75,1525.16
1610.27,7883.14,1057.35,1371.51
962.638,6806.75,1811.04,1693.47
1724.05,14351.5,3594.45,2583.78
1065.15,7244.18,1920.49,1546.75
1145.39,7373.53,134.383,2188.88
1427.58,7069.33,3165.11,2020.7
1208.79,6646.32,848.989,783.204
1050.77,7377.6,-252.183,1297.23
731.557,4176.4,1915.27,1817.22
805.414,5087.81,2519.99,1055.78
1568.58,9621.64,966.616,2269.39
1272.25,6589.3,2618.15,1180.75
735.067,8832.96,1151.19,1756.15
1099.97,8672.05,1125.34,2013.1
2038.4,7454.34,2265.55,3813.85
844.728,9729.94,1251.81,434.204
1052.58,5786.81,3215.29,1313.99
1117.04,6996.05,1518.41,1977.71
