time,replicate,genotype,counts,cohort number,condition
0,3,BaxBak KO,18479,18333,1uM MCL1i
24,3,BaxBak KO,20965,20943,1uM MCL1i
48,3,BaxBak KO,36378,16340,1uM MCL1i
72,3,BaxBak KO,145137,16580,1uM MCL1i
96,3,BaxBak KO,182308,17426,1uM MCL1i
120,3,BaxBak KO,183417,16752,1uM MCL1i
144,3,BaxBak KO,184683,16493,1uM MCL1i
0,1,WT,11663,11537,0.1uM BCL2i
24,1,WT,13029,13013,0.1uM BCL2i
48,1,WT,32186,12147,0.1uM BCL2i
72,1,WT,104973,8805,0.1uM BCL2i
96,1,WT,83744,4972,0.1uM BCL2i
120,1,WT,66751,3217,0.1uM BCL2i
144,1,WT,27843,1572,0.1uM BCL2i
0,2,WT,12330,12164,0.1uM BCL2i
24,2,WT,13622,13622,0.1uM BCL2i
48,2,WT,32038,12142,0.1uM BCL2i
72,2,WT,118157,9877,0.1uM BCL2i
96,2,WT,108498,6572,0.1uM BCL2i
120,2,WT,58211,3047,0.1uM BCL2i
144,2,WT,25827,1427,0.1uM BCL2i
0,3,WT,12365,12262,0.1uM BCL2i
24,3,WT,13757,13750,0.1uM BCL2i
48,3,WT,28911,11034,0.1uM BCL2i
72,3,WT,97087,8120,0.1uM BCL2i
96,3,WT,108138,6487,0.1uM BCL2i
120,3,WT,71344,3483,0.1uM BCL2i
144,3,WT,28385,1498,0.1uM BCL2i
0,1,BaxBak KO,15691,15503,0.1uM BCL2i
24,1,BaxBak KO,17727,17686,0.1uM BCL2i
48,1,BaxBak KO,43157,19039,0.1uM BCL2i
72,1,BaxBak KO,130699,14803,0.1uM BCL2i
96,1,BaxBak KO,177276,16537,0.1uM BCL2i
120,1,BaxBak KO,160028,14279,0.1uM BCL2i
144,1,BaxBak KO,168217,14812,0.1uM BCL2i
0,2,BaxBak KO,17125,16956,0.1uM BCL2i
24,2,BaxBak KO,18434,18399,0.1uM BCL2i
48,2,BaxBak KO,45950,20686,0.1uM BCL2i
72,2,BaxBak KO,153142,17244,0.1uM BCL2i
96,2,BaxBak KO,183146,16806,0.1uM BCL2i
120,2,BaxBak KO,190569,17514,0.1uM BCL2i
144,2,BaxBak KO,148912,13385,0.1uM BCL2i
0,3,BaxBak KO,18479,18333,0.1uM BCL2i
24,3,BaxBak KO,20965,20943,0.1uM BCL2i
48,3,BaxBak KO,40106,17690,0.1uM BCL2i
72,3,BaxBak KO,163220,18404,0.1uM BCL2i
96,3,BaxBak KO,192553,18017,0.1uM BCL2i
120,3,BaxBak KO,149269,14015,0.1uM BCL2i
144,3,BaxBak KO,180602,16589,0.1uM BCL2i
0,1,WT,11663,11537,1uM BCL2i
24,1,WT,13029,13013,1uM BCL2i
48,1,WT,29377,11282,1uM BCL2i
72,1,WT,102524,8910,1uM BCL2i
96,1,WT,78399,4923,1uM BCL2i
120,1,WT,39603,1927,1uM BCL2i
144,1,WT,16101,899,1uM BCL2i
0,2,WT,12330,12164,1uM BCL2i
24,2,WT,13622,13622,1uM BCL2i
48,2,WT,31237,12084,1uM BCL2i
72,2,WT,113377,9703,1uM BCL2i
96,2,WT,88566,5433,1uM BCL2i
120,2,WT,42250,2260,1uM BCL2i
144,2,WT,19064,1090,1uM BCL2i
0,3,WT,12365,12262,1uM BCL2i
24,3,WT,13757,13750,1uM BCL2i
48,3,WT,28991,11237,1uM BCL2i
72,3,WT,93600,8038,1uM BCL2i
96,3,WT,95897,5765,1uM BCL2i
120,3,WT,61087,2886,1uM BCL2i
144,3,WT,17281,942,1uM BCL2i
0,1,BaxBak KO,15691,15503,1uM BCL2i
24,1,BaxBak KO,17727,17686,1uM BCL2i
48,1,BaxBak KO,41482,18825,1uM BCL2i
72,1,BaxBak KO,135113,16071,1uM BCL2i
96,1,BaxBak KO,156350,15940,1uM BCL2i
120,1,BaxBak KO,158477,15700,1uM BCL2i
144,1,BaxBak KO,152084,14812,1uM BCL2i
0,2,BaxBak KO,17125,16956,1uM BCL2i
24,2,BaxBak KO,18434,18399,1uM BCL2i
48,2,BaxBak KO,42707,19202,1uM BCL2i
72,2,BaxBak KO,140752,16790,1uM BCL2i
96,2,BaxBak KO,152138,15598,1uM BCL2i
120,2,BaxBak KO,191076,18870,1uM BCL2i
144,2,BaxBak KO,168957,16603,1uM BCL2i
0,3,BaxBak KO,18479,18333,1uM BCL2i
24,3,BaxBak KO,20965,20943,1uM BCL2i
48,3,BaxBak KO,38915,17768,1uM BCL2i
72,3,BaxBak KO,149064,17783,1uM BCL2i
96,3,BaxBak KO,162587,16416,1uM BCL2i
120,3,BaxBak KO,172436,16814,1uM BCL2i
144,3,BaxBak KO,156523,15254,1uM BCL2i
0,1,WT,11663,11537,1uM combination
24,1,WT,13029,13013,1uM combination
48,1,WT,8833,6477,1uM combination
72,1,WT,6939,3759,1uM combination
96,1,WT,4282,2214,1uM combination
120,1,WT,1090,573,1uM combination
144,1,WT,349,157,1uM combination
0,2,WT,12330,12164,1uM combination
24,2,WT,13622,13622,1uM combination
48,2,WT,8565,6074,1uM combination
72,2,WT,6857,3941,1uM combination
96,2,WT,3962,2105,1uM combination
120,2,WT,1022,610,1uM combination
144,2,WT,283,150,1uM combination
0,3,WT,12330,12262,1uM combination
24,3,WT,13622,13750,1uM combination
48,3,WT,8565,6759,1uM combination
72,3,WT,6857,3877,1uM combination
96,3,WT,3962,2311,1uM combination
120,3,WT,1022,531,1uM combination
144,3,WT,283,146,1uM combination
0,1,BaxBak KO,15691,15503,1uM combination
24,1,BaxBak KO,17727,17686,1uM combination
48,1,BaxBak KO,40717,18337,1uM combination
72,1,BaxBak KO,122797,14655,1uM combination
96,1,BaxBak KO,145268,14747,1uM combination
120,1,BaxBak KO,174704,17480,1uM combination
144,1,BaxBak KO,131738,12521,1uM combination
0,2,BaxBak KO,17125,16956,1uM combination
24,2,BaxBak KO,18434,18399,1uM combination
48,2,BaxBak KO,42100,19326,1uM combination
72,2,BaxBak KO,145652,17140,1uM combination
96,2,BaxBak KO,169789,17116,1uM combination
120,2,BaxBak KO,188371,18576,1uM combination
144,2,BaxBak KO,163390,15338,1uM combination
0,3,BaxBak KO,18479,18333,1uM combination
24,3,BaxBak KO,20965,20943,1uM combination
48,3,BaxBak KO,46956,21057,1uM combination
72,3,BaxBak KO,152478,18270,1uM combination
96,3,BaxBak KO,177504,18055,1uM combination
120,3,BaxBak KO,165583,16194,1uM combination
144,3,BaxBak KO,151856,14784,1uM combination
