"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
25877.9,21889,77479,855.75,741,75684.8,1931.22,6116.87,2502.75,1422.84,323.501,656.591,0.711148
27618.4,24377,74250.2,426,397,70323.3,735.074,4473.7,1377.79,2210.26,-217.944,191.337,0.711148
32262.1,26060,81133.2,723,632,74972.4,952.559,8611.74,1090.95,1771.86,591.464,353.12,0.716377
25226.5,21405,77236.4,483.75,429,73899.9,2023.65,5660.03,3255.63,1748.93,47.6432,533.464,0.716377
25713.6,18129,92954.2,1206,1009,78331.4,1091.22,10890.4,2910.11,4899.32,3.8526,583.904,0.721606
21143.1,13728,100935,1330.5,1060,82260,1384.12,8272.68,2785.53,1879.68,526.187,1192.68,0.724744
19148.6,15400,81488.4,587.25,524,73446.6,4624.48,3834.49,1547.68,1450.18,53.3651,680.173,0.732064
26768.9,23294,75312.5,469.5,430,71556.2,995.356,4378.55,1841.8,730.751,299.931,202.558,0.734156
32261.5,29829,70880.3,396.75,357,72833.1,3776.07,5017.39,630.465,932.193,309.169,218.18,0.736248
20094.4,17321,76029.3,567.75,521,71416.6,7566.08,3888.63,1798.59,1508.06,552.001,935.426,0.738339
11050.4,8820,82108.6,598.5,544,72101.6,8456.59,3893.72,1678.27,471.018,326.252,726.531,0.747752
19726.7,17316,74659.9,575.25,528,71400.7,1892.47,4903.49,1669.15,532.584,39.3017,159.63,0.754026
24670.8,20778,77814.3,686.25,622,72305.6,1760.83,5851.41,2786.53,2986.24,127.432,802.153,0.757164
23831.9,20764,75219.1,435.75,408,69993.4,1127.5,3421.78,381.853,619.217,359.066,819.483,0.761347
17396.3,11512,99034.3,744.75,604,80807.8,803.586,5043.36,6550.63,4125.65,-52.1586,284.214,0.762393
28925.8,24428,77602.9,542.25,472,75290,1334.46,4860.65,2284.46,4140.51,-71.997,512.188,0.767622
25561.1,16190,103470,1105.5,874,82894.8,769.104,10405.2,4596.79,8050.09,66.3734,1293.23,0.769713
24864.8,20108,81039.5,667.5,620,70556.9,1895.67,6953.25,2225.79,3353.83,-62.4268,907.033,0.772851
24931.5,21961,74400.6,354.75,349,66615.8,2043.84,4221.41,698.984,695.55,461.087,95.7176,0.773897
57961.2,39809,95419.3,1410.75,1137,81314.8,2219.77,12561.5,9014.53,4359.62,250.423,2135.52,0.77808
16352.2,13431,79789.7,806.25,695,76026.5,8169.45,5429.68,2788.07,2322.61,-141.076,635.456,0.77808
46425.7,32395,93920.6,1202.25,1055,74683.1,1968.97,10095.3,5402.66,3721.71,-323.548,1530.03,0.79063
