FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.87E+06,1.23E+06,913551,370773,690923,469183,883565,279208,796768,2114.37,26035.5,83820.2,36197.6,28516,6623.77,5457.03,0.5204
1.46E+06,975617,895907,410160,557014,408665,817806,332316,740547,2580.25,134340,54782.3,17877.9,12377.8,6391.8,2753.86,0.5385
1.34E+06,847718,947448,411577,648550,456927,851624,326241,756944,3122.4,148437,58922.8,19717.3,18270.2,7803.16,4180,0.5409
1.57E+06,1.08E+06,872912,255626,495831,363683,818016,200150,766305,2250.36,19301.4,54169.4,15781.5,13252.8,6006.85,1845.16,0.5471
1.31E+06,835021,944064,474169,687682,443578,930184,343883,827321,4391.12,125408,52321.2,18747,10803.3,8983.24,2578.81,0.5506
1.57E+06,1.04E+06,908642,390108,640368,426112,901690,296054,790615,1895.77,118379,48628.1,15108,22516.6,6215.88,2658.35,0.5759
1.57E+06,1.05E+06,896452,322380,542469,370131,879369,241642,800473,3184.42,44036.2,60829.2,14288.9,19678.2,9012.4,2082.63,0.5849
2.09E+06,1.29E+06,972738,410037,469578,309119,911451,292519,841048,3605.83,38221.4,60169.6,16438.8,27512.9,7448.3,4078.93,0.6041
2.43E+06,1.45E+06,1.01E+06,500415,712418,428653,997196,323520,928070,2992.67,75889.4,74023.1,27122.7,32347.7,10384.8,4598.68,0.6279
1.58E+06,1.10E+06,864770,273071,306854,217595,846125,211173,775868,1864.54,64824.8,38845.2,9715.26,11486.5,5026.43,1317.11,0.6329
2.17E+06,1.45E+06,893232,263374,446770,314885,851302,207100,763034,1425.85,44392.8,48116.9,27355,14663.2,8096.37,2890.01,0.6333
1.86E+06,1.23E+06,903520,266180,458984,312027,882585,203112,786306,2955.33,34501.3,52568.2,13737.4,19890.5,5714.86,2627.41,0.6437
2.26E+06,1.46E+06,930283,265563,511505,332885,921950,184011,865914,1453.64,32766.2,56093.5,12703.4,15399.2,4957.36,1340.23,0.661
1.62E+06,1.03E+06,947439,423174,723637,441015,984507,285027,890809,3955.64,63257,50942.4,23473.5,30333.7,13237.4,3523.82,0.6652
