FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.57E+06,1.06E+06,887252,335387,554413,375422,886063,253334,794336,2482.16,56243.3,40275.2,16343,9439,8897.63,2504.47,0.9516
1.72E+06,1.13E+06,914619,412415,793849,508365,936944,286264,864407,3742.33,11549.4,91932.2,33677.4,24538.4,13495.9,3537.38,0.965
1.70E+06,1.17E+06,873901,326863,533698,354187,904095,253018,775113,1394.93,111773,66546.6,10703,15702,9207.27,1854.32,0.9657
1.54E+06,1.10E+06,841128,458106,779348,538255,868749,342729,801984,2886.54,29467.8,92748.7,24150.4,23469.1,14726.3,2615.98,0.9839
1.57E+06,1.15E+06,817905,356945,404038,284698,851509,272823,785003,3329.87,11608.9,84012.3,20758.2,17219.6,7131.29,1283.46,0.9898
1.67E+06,1.28E+06,783193,337917,525809,419840,751442,290287,698447,2906.35,59424.5,31264.4,14528.3,9846.65,1639.74,2101.2,0.9913
1.76E+06,1.27E+06,832072,373074,552939,408355,812438,302844,739141,2872.47,122133,81438.5,24312.6,18069.5,10399.2,2833.13,0.999
917198,609069,903541,457848,765057,494446,928381,320338,857560,4222.2,18849.2,82595,24843,23860.2,11586.9,4098.98,1.0253
1.27E+06,833530,917406,412758,692384,463908,895502,308051,803940,2336.29,113198,59618.1,17494.4,13128.6,7646.57,2772.92,1.054
1.43E+06,942718,907102,372558,520595,349393,893999,283034,789781,2680.32,7647.24,157232,27854.7,17049.5,8951.2,1473.3,1.055
1.43E+06,940246,915145,235248,404955,286657,847610,182797,772160,1864.22,8628.14,73688.2,14367,14647.6,8872.3,838.649,1.0643
1.78E+06,1.21E+06,881017,264736,389319,255202,915319,185206,857649,1956.96,16528.4,79151.7,13135.7,9896.29,7926.99,1541.77,1.1187
576275,483456,715194,304765,557923,521666,641701,302333,604826,8362.02,42177.4,13124,8408.32,-1402.6,-172.037,3713.83,1.1354
1.68E+06,1.14E+06,881234,224851,412318,289314,855095,172749,780964,2199.01,7203.67,63342.2,13807.7,14574.5,8369.21,1792.77,1.1581
1.57E+06,1.03E+06,918936,444564,626176,428352,877096,336122,793576,4136.09,17545.9,72616.5,19421.2,15453.4,10810.4,2156.94,1.1626
1.28E+06,907441,846783,265561,403849,296693,816701,208659,763622,2290.34,27409.6,43237.1,6439.45,15257,8408.96,1993.27,1.1784
1.52E+06,1.08E+06,841998,484323,627415,449647,837210,364984,796182,5825.99,126743,128073,36629.5,19116.6,11511.7,2973.96,1.2247
1.57E+06,1.03E+06,913572,323997,519846,336396,927204,242800,800652,4679.43,61033.7,82367.3,16271.8,13123.5,9989.05,2496.39,1.3011
1.72E+06,1.20E+06,861259,375562,480808,325064,887471,278437,809294,1731.35,22270.6,64396,17331,13482.3,7548.34,1879.02,1.3244
1.51E+06,1.10E+06,823664,279427,337665,249164,813115,231380,724592,3675.17,58036.8,51517.8,9101.95,7042.67,5743.56,1460.06,1.3315
1.72E+06,1.09E+06,944760,395585,672434,423528,952617,284374,834643,2981.59,5103.13,80923.7,26695.6,22482,10408.6,1362.93,1.3473
1.31E+06,874591,897085,445644,692545,488044,851412,351760,760139,5439.61,62065,48245.2,16267.9,19590.7,6933.57,1828.75,1.36
1.47E+06,1.08E+06,818158,304552,378717,273837,829801,232354,786435,2384.1,18454.2,52246.1,11913.3,11767.5,9489.59,1479.42,1.3698
1.50E+06,1.01E+06,890471,291576,545001,376549,868414,220303,794114,2890.85,34716.5,145310,39367.4,19144.4,10777.3,2372.21,1.4311
1.46E+06,1.03E+06,851260,308940,377429,267760,845747,236284,784496,2766.45,27283.5,53539.8,14555.5,13058.3,5501.16,1749.87,1.4324
1.18E+06,820619,864468,433111,519681,354458,879677,318932,814802,3128.13,56994.8,45064.9,13661.7,10325.8,9799.57,1090.31,1.4428
1.35E+06,966793,840258,391251,428579,304016,845835,309109,759443,2195.8,15213,47638.7,14506.8,10210.4,6384.68,1917.48,1.4929
1.27E+06,783183,974276,423433,741045,505856,878960,319139,796079,3037.04,42896.4,77328.7,30971.9,14322.4,11255.2,1953.52,1.4954
