FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.26E+06,874718,861745,392518,528131,362295,874642,286683,821502,4564.03,323002,55836.9,19963.6,17374.7,9128.65,2695.82,8.0737
2.06E+06,1.33E+06,928488,448205,764475,486472,942880,305569,880073,4134.87,617296,81354.2,18763.5,23183.3,16428.6,7164.1,8.1064
1.73E+06,1.05E+06,992147,317037,568962,357436,955072,220421,862994,3336.54,157422,66905.2,33629.1,15171.4,13276.2,2662.06,8.1092
1.52E+06,939323,969978,445123,667810,406876,984786,317691,840672,2918.83,231264,68855.1,15182.8,19421.2,13143.2,3530.72,8.1132
2.40E+06,1.41E+06,1.02E+06,473826,738998,407357,1.09E+06,299633,948813,4646.41,109541,87433.3,21677.8,27613.8,15692.7,3393.48,8.1185
1.95E+06,1.17E+06,1.00E+06,476851,552111,321604,1.03E+06,306653,933012,2324.13,684269,85061,16791.2,28059.3,15285.3,5060.86,8.1208
1.65E+06,964179,1.03E+06,326195,562746,348305,969402,227410,860636,2906.05,386030,69994,138408,16578.6,11730.8,4940.49,8.1318
2.77E+06,1.66E+06,998663,432644,806199,504098,959575,301595,860712,4272.83,359298,89864.7,21045.9,29380.1,12425.4,6440.79,8.1355
1.99E+06,1.22E+06,978250,526195,751050,462622,974078,370814,851416,3371.39,668186,124284,17012.8,27110.2,13704.9,6044.69,8.1594
2.63E+06,1.49E+06,1.06E+06,433057,815098,460709,1.06E+06,269326,964757,5259.28,319421,89305.5,20959.3,44932.7,17480.7,5170.77,8.1971
2.09E+06,1.35E+06,930589,294396,614345,414384,889530,218069,810009,3847.5,135026,52147.4,25953.3,19638.4,9923.67,3045.01,8.2113
2.60E+06,1.56E+06,999806,414921,716170,462865,928353,287959,864542,4855.29,725067,87561.8,17954.6,47807.6,15001.3,7986.17,8.2123
1.41E+06,874462,970688,303250,518324,348444,892523,226700,802602,2482.45,164017,49451.9,10894,14515.5,9221.06,1971.82,8.2193
2.00E+06,1.15E+06,1.05E+06,452520,551216,324973,1.02E+06,286826,946609,5154.05,321832,79216.8,27352,26194.3,16710.5,4183.55,8.2246
2.49E+06,1.46E+06,1.02E+06,435477,787167,462555,1.02E+06,280687,930881,7985.07,335748,63032.9,22670.4,32117.9,11993.4,5917.3,8.2265
2.94E+06,1.70E+06,1.04E+06,501688,829917,492589,1.01E+06,338136,890213,4063.77,381491,82686.2,28045.8,44873.1,15745.8,5904.87,8.2496
2.36E+06,1.47E+06,966004,443206,521405,311309,1.00E+06,301202,882874,5929.41,188960,55404.4,34875.9,19447.4,10452.4,4104.18,8.2537
1.50E+06,896833,1.00E+06,385493,740917,462897,960366,253638,911914,3620.01,155524,65360,17811.5,21937,11459.5,3285.42,8.2618
1.61E+06,1.20E+06,809911,146239,277810,216068,771450,124666,703826,1227.54,407161,22344.1,8318.8,12177.3,4141.52,1731.27,8.2671
2.26E+06,1.31E+06,1.04E+06,435513,666360,410687,973530,296034,882695,6027.63,319660,69482.9,18710.1,37369.1,16108.7,5267.67,8.2754
2.08E+06,1.35E+06,928212,209005,364962,248456,881352,160803,779853,2011.36,33512.2,41377.5,14613,12016.7,19623.6,1846.29,8.2762
1.70E+06,1.05E+06,971580,380113,529728,361641,878873,274081,832118,1891.11,664200,65241.6,12578.7,9033.11,8742.68,4376.69,8.2806
2.74E+06,1.56E+06,1.05E+06,582247,712647,417072,1.03E+06,380765,917491,7335.48,261059,116873,34635.6,36754.3,12482,4851.61,8.2897
1.30E+06,786749,992743,408164,511774,320279,958741,289492,845959,3033.91,83552.9,56982.5,21023.5,16146.9,9756.23,2527.69,8.3059
1.79E+06,1.05E+06,1.02E+06,355992,784458,441058,1.07E+06,241044,886126,3092.81,174386,61332.4,14650.6,20917.9,17718.2,2997.7,8.312
2.31E+06,1.32E+06,1.05E+06,642120,721488,382029,1.13E+06,361627,1.07E+06,6902.85,601102,102602,33065.9,29824.9,20626.7,7344.45,8.3174
1.76E+06,1.17E+06,904333,400268,836151,553379,906595,292421,821283,3774.38,648326,71495.7,16642.7,12010.3,13630.4,4953.48,8.3356
1.79E+06,1.08E+06,993450,354248,439999,282248,935345,248740,854501,1525.23,344702,57963.5,15679.5,19336.5,11456.9,3388.34,8.3492
2.06E+06,1.21E+06,1.02E+06,437326,609081,361969,1.01E+06,298499,879050,5552.43,272727,122890,28703.7,20336.8,19163.2,4367.99,8.3599
1.46E+06,910260,964984,478830,562500,343806,981658,319197,900065,3834.46,312083,62610.6,22078.4,13704.4,11188,3196.15,8.3661
1.42E+06,1.01E+06,844781,332570,558920,384347,872524,252920,788953,1775.18,318540,54999.4,15206.1,14911.3,8898.92,2348.93,8.3792
2.09E+06,1.23E+06,1.02E+06,463926,604716,381068,952138,317139,877709,5255.05,205481,77386.8,38919.4,19736.2,15799.1,3669.5,8.3833
2.40E+06,1.46E+06,987782,356483,706376,451388,938938,241550,885488,4182.75,326459,71630.6,15914.3,38700.6,11995.2,5410.22,8.3933
1.63E+06,1.02E+06,958308,330946,374969,243262,924853,232554,853857,3334.54,253102,63954.8,16330.7,17867.2,8313.2,3041.26,8.4098
2.56E+06,1.49E+06,1.03E+06,528208,919556,545621,1.01E+06,339290,934082,6476.07,302439,96566.7,23264.7,29522.8,19337.6,5016.33,8.4142
2.80E+06,1.72E+06,979155,649535,959233,535891,1.07E+06,399935,974461,3952.22,621821,90812.9,31861.5,39025.4,17326.9,5552.47,8.4352
2.03E+06,1.21E+06,1.01E+06,520408,746015,445346,1.01E+06,350854,889957,4470.01,189348,64149.2,20322.1,17271.8,13817.1,4132.35,8.4741
1.45E+06,958071,907982,334379,437379,295003,889576,241945,829226,2667.48,379714,61446.6,15414.5,19002.3,9693.22,3872.96,8.4819
803660,517053,932585,463291,572278,354650,968186,323888,858244,3977.67,305425,66315.9,17142.4,11033.3,10715.7,2348.26,8.5019
1.44E+06,781436,1.10E+06,391947,520135,313745,994696,261730,898515,4499.3,316794,88246.3,24339.3,25168.5,15817.2,4520.47,8.5105
1.65E+06,1.11E+06,894046,265207,327488,215029,913796,189694,838846,10211.7,175369,37965.3,26319.1,7896.96,5433.55,4279.13,8.5168
2.14E+06,1.23E+06,1.04E+06,362399,684736,449017,914979,258611,840796,4561.96,285956,86051.6,22554.6,31884.1,16219.3,4079.14,8.5253
1.06E+06,679412,934942,273504,553753,379273,876023,202043,812214,2357.7,286328,55893.3,11787.9,12194.8,11868.2,2410.48,8.5322
2.38E+06,1.59E+06,898061,334925,626902,452028,832120,266878,752985,2367.04,387330,41272.9,11762.1,12411.6,6846.97,2187.34,8.5724
1.39E+06,924705,900387,327705,592498,393464,903511,235153,836148,1886,695960,51712.1,9984.46,13205.5,8322.55,4149.13,8.5788
2.24E+06,1.28E+06,1.05E+06,335662,619823,391641,949578,227481,885337,4628.65,419294,76872.7,16359.3,57875,13145.6,4538.31,8.5899
2.25E+06,1.35E+06,998779,453218,524445,315397,997686,299379,908316,4990.01,405782,69239.9,28492.7,34609.4,13570.6,5371.9,8.5932
2.57E+06,1.50E+06,1.03E+06,405061,715659,424781,1.01E+06,258268,941024,5598.49,180739,100315,26266.7,36077.2,18275.9,5355.6,8.6041
2.19E+06,1.29E+06,1.02E+06,437316,784103,456538,1.03E+06,275041,954002,5833.59,359296,98426.5,26173.1,26787.5,18091.1,5187.34,8.6063
2.11E+06,1.25E+06,1.01E+06,356278,584514,364770,961451,250008,855039,3142.63,311451,66591.7,19467.4,26017.4,14169.5,3445.67,8.6193
1.90E+06,1.29E+06,885031,234697,358198,240148,894943,177162,794855,785.682,560664,44644.2,11768.6,13244.8,8241.76,2913.98,8.6205
1.61E+06,1.10E+06,877836,340046,483767,340274,853019,259207,787123,2244.08,354702,61764.4,13472.9,16549.5,7351.18,3527.38,8.6584
1.64E+06,1.03E+06,956314,499951,967872,629607,922358,349368,858610,2454.39,740166,89454.5,18874.8,26159.7,15360.4,4539.56,8.673
1.89E+06,1.24E+06,915320,325330,440542,277780,951564,225653,865036,3643.64,316445,52018.6,21537.3,18822.6,9880.22,3955.7,8.6733
2.19E+06,1.32E+06,997897,286276,557956,350632,954773,193033,889825,4330.27,337724,63215.5,22178.7,25993.2,10516.8,4226.67,8.7104
2.18E+06,1.36E+06,962489,403190,456086,279810,977990,273164,885601,5524.98,146560,99173.9,26548.1,40677,11675.1,3725.5,8.711
2.32E+06,1.40E+06,992190,320055,594360,388460,918025,229515,836692,3872.95,169750,65177.5,12866.2,19348,11785.9,3326.83,8.7256
