"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
15951.5,14429,72451.3,465,425,71704.1,690.412,3600.1,768.372,1318.88,200.089,238.574,0.641113
15836.7,13705,75729.6,794.25,701,74253.9,184.845,4278.79,1154.95,951.4,187.491,430.282,0.642171
16861.7,14877,74278.9,698.25,669,68401.4,670.046,3293.92,67.4265,482.922,245.093,323.377,0.642171
24767.2,22392,72487.5,399.75,360,72772.3,785.68,3835.94,755.801,809.14,241.694,200.795,0.642171
23800.3,19436,80251.8,1091.25,972,73576.3,1972.4,2530.39,5263.86,1069.69,167.919,480.663,0.642171
23637.2,21667,71495.4,369.75,343,70647,782.464,5157.33,855.73,432.042,-32.5808,272.962,0.644287
27116.8,23745,74842,444,405,71846.9,1150.11,6652.65,3982.69,1731.69,-153.206,277.205,0.645345
16076.9,14484,72743.6,543.75,516,69060.5,101.058,3476.29,1143.05,7040.78,-236.968,333.253,0.649577
23006.9,19629,76814,728.25,649,73538.7,1724.46,5864.86,1833.23,1311.95,-22.7752,527.597,0.651693
15787.2,9985,103618,781.5,629,81425.1,122.533,5386.17,2192.88,2784.02,129.841,874.278,0.651693
11705.1,9790,78356,850.5,798,69847.6,383.803,4561.41,2164.47,1052.59,10.6286,708.233,0.654867
18089.3,16368,72427.9,540.75,516,68679.4,2356.09,5524.62,884.099,531.508,636.787,371.394,0.660156
21648.7,19744,71858.1,564.75,512,72288,24848.2,4835.55,2224.33,744.106,-495.543,677.349,0.660156
27610.4,24173,74855.3,486,457,69694.7,611.554,7665.92,1000.56,667.908,365.999,315.033,0.660156
41777.3,34073,80354.5,753,697,70801.4,756.979,9074.16,4016.58,2197.91,-398.047,1604.18,0.660156
33148.5,25025,86810,929.25,789,77185.5,970.463,7941.97,1354.16,1582.18,253.008,533.942,0.662272
17167.9,15244,73807.2,667.5,588,74396.7,6566.15,3854.76,933.778,970.54,422.753,406.489,0.66333
18344.7,16864,71290.2,528.75,484,71595.4,744.065,3664.2,1263.95,987.551,344.011,531.133,0.664388
25103.1,21989,74817.3,421.5,373,74057.4,883.495,4725.69,1619.85,1843.38,435.515,792.026,0.667562
15954.8,14512,72051.8,553.5,532,68184.5,5477.99,3348.61,685.813,1180.58,330.955,427.056,0.66862
23335,20912,73129.3,525.75,484,71189.2,1343,3886.54,1835.05,1110.08,42.0537,567.421,0.671794
17576.5,15105,76258.9,784.5,693,74189,7312.13,4597.65,1676.88,2230.5,944.469,906.663,0.676025
27022.4,23464,75474.7,591,540,71725.5,1149.73,5743.76,1184.29,2465.66,101.511,979.896,0.676025
40514.8,28000,94827.7,1034.25,820,82659.3,-1.29684,7850.82,3482.1,6035.7,296.473,1234.4,0.676025
30727,25953,77591.1,519,465,73146.6,649.561,5463.54,768.049,1448.74,78.5531,165.91,0.677083
23428.7,20987,73160.6,423,415,66799.4,316.655,4084.01,1825.09,2219.01,174.437,388.495,0.679199
