FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.55E+06,1.18E+06,786479,143988,199201,158278,755131,125383,689030,1625.48,28030.6,38037.4,6927.75,3703.6,4295.73,494.549,2.1322
2.00E+06,1.47E+06,814369,253998,425907,329624,775260,214092,711839,2467.85,54247,158678,25664.4,6053.86,14449.9,264.331,2.1759
1.19E+06,830566,860426,392556,412498,286443,864041,296428,794572,2921.74,10238.5,111716,29619.7,9035.57,7178,1007.23,2.1775
656114,533876,737378,42659.6,86921.6,70088,744107,37181,688410,486.625,3605.76,1831.1,515.669,-377.407,-34.9337,279.092,2.263
1.30E+06,866611,902968,314318,410869,291222,846507,240613,783793,3225.48,28361.1,43860.5,7616,2877.65,4448.82,1153.53,2.2719
1.51E+06,965486,939932,467595,712880,474655,901135,351943,797166,4540,51013.6,112494,53743.9,16636.7,9718.98,1714.04,2.3042
2.13E+06,1.50E+06,852136,251489,460164,352004,784362,204370,738335,2687.49,30314.9,59959.8,13928.9,3777.61,10037.3,933.131,2.3438
1.62E+06,1.16E+06,836304,146590,244363,192336,762300,129811,677557,1657.33,41837.2,41672.5,11232.6,2841.77,5889.98,632.858,2.3765
1.93E+06,1.34E+06,865205,174101,278468,192394,868432,133634,781692,3163.06,27378.7,111553,18067.8,17432.6,12408.2,711.849,2.4101
1.64E+06,1.14E+06,862183,224507,412390,308801,801274,186604,721873,1907.76,24414.6,87006.9,8240.9,3834.72,5272.45,396.515,2.486
1.69E+06,1.19E+06,848593,157871,260814,201347,777208,137537,688704,1866.73,14291.2,176393,22334.4,4353.66,9338.93,659.136,2.5094
847920,456237,1.12E+06,268357,495329,322942,920281,190057,847188,2397.41,22766.3,107129,26006.1,4988.66,6341.93,1130.39,2.5428
1.28E+06,947128,813560,329739,436029,311856,838904,251060,788032,2116.13,7192.48,331249,28568.5,15291.4,7261.54,544.185,2.5499
1.60E+06,1.14E+06,841246,138980,195939,140040,839498,113281,736119,976.66,51851.3,67931.3,73198.2,3800.67,14325.8,-355.226,2.6409
1.48E+06,979890,908811,275839,333901,238137,841284,217071,762440,2963.13,31875.7,310662,35780.6,10204.6,6479.09,238.682,2.7985
