Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
10627.7,2138.35,2345.4,2077.1
20157.4,4389.19,2548.33,2719.61
16149.2,527.546,1514.85,3702.83
13779.3,2377.68,1834.74,2357.46
12449.9,2186.06,1153.04,1724.37
26794.7,12897.8,2652.75,5039.7
8252.06,319.682,1042.82,1067.11
13620.1,5786.61,4061.86,8987.98
17034.2,2437.06,2119.43,3236.58
18571.5,8916.77,4953.99,9191.75
12665.7,2442.52,2651.14,1877.12
23960.6,6590.61,3897.63,14036.2
12526.5,2443.19,3204.58,2843.98
13368.5,554.06,2025.6,3136.66
26433.4,3349.61,1870.92,3668.32
17680.5,4408.34,1399.89,3476.97
14945.6,4026.27,1874.15,2683.28
12747.6,-655.404,1843.42,1726.21
16530.6,2112.64,1898.83,2446.4
15363.3,1406.64,2124.23,2937.78
13198.7,901.401,2031.62,3611.58
15971.8,2473.24,2266.11,4473.57
12020.8,6175.86,2300.88,3783.87
13790.3,2090.8,2084.95,8193.56
15836.1,1842.6,1700.32,2779.31
13915.1,1363.89,1662.06,3550.35
13283.7,1884.28,1200.3,2962.54
18614.2,4691.39,1974.35,4308.19
20090.5,2449.47,2322.69,4242.81
11843.1,6731.48,2856.1,8067.93
20472.7,4834.62,2695.9,5914.29
9084.72,1705.51,3075.53,2548.56
18214.5,5656.73,5618.54,1607.44
12719.1,1763.8,1521.69,3128.6
7922.19,2136.75,1450.25,2313.85
20213.3,1900.72,2224.03,3094.08
16176,3443.01,1433.46,3691.56
24261.4,6168.32,1830.29,3207.98
14978.1,2625.85,1666.64,3517.12
28253.8,2909.01,2103.56,9166.95
12437,2690.4,1375.18,3094.64
14931.5,2134.05,1946.82,1791.01
20300.7,1874.87,1285.68,3334.95
15818.9,6269.32,1186.27,2386.01
7197.85,1275.94,1057.83,2461.36
13179.7,1304.33,2051.51,2664.84
12065.8,925.884,1633.53,2843.69
14673.8,1276.22,1742.1,2109.39
12270.7,4994.54,1735.71,2863.33
36362.6,10242.4,1890.34,2941.8
12700.6,5266.01,1828.19,3906.98
8600.02,4342,1668.92,913.891
10407.7,2679.62,1649.47,1720.77
9070.19,82.1359,1192.97,1703.08
12431.8,415.832,1754.66,2198.69
14212.1,3041.59,1323.69,2261.57
18916,1393.21,1504.86,1847.93
13889.2,2682.38,2041.63,2158.91
12345.9,2519.82,1167.34,2902.18
16180.1,1745.28,1595.2,2360.01
13482.7,3890.1,2744.89,1612.02
25645.2,8045.62,1955.2,5804.69
12732.7,2409.03,1290.59,1571.34
11223.5,1165.07,2114.39,2099.24
18939.5,3229.52,2276.45,4594.33
11184.3,1162.43,1795.49,2379.6
13275.4,2334.34,1723.61,2694.59
11824.6,638.984,2111.06,2806.48
11354.3,854.615,1239.38,1209.65
10771.4,8068.75,5212.35,6892.8
8528.54,6355.13,1103.09,2056.99
9728.37,1156.13,2197.79,1873.14
6426.84,-305.86,941.072,1008.96
16269,2088.55,1672.9,3430.72
9850.48,5766.06,3255.47,9344.68
19839.2,4183.04,2873.94,3777.34
8479.52,1594.03,1105.61,2147.91
21453.8,1668.59,1344.71,3104.55
15984.5,3146.26,842.273,2849.47
10546.9,2387.05,1514.06,1180.95
11689.1,7559.38,2843.72,7106.02
9995.93,2298.66,1626.28,2090.64
14301,3891.2,2012.43,4028.24
13995.4,3417.04,1304.92,3623.9
11520,1692.52,858.635,2634.93
14895.1,2595.32,1821.41,1933.45
27627.8,5529.65,1550.64,7172.73
12756.1,179.788,1960.29,2023.77
25225.6,8432.22,1967.81,4717.92
11517.6,1946.47,847.9,1605.8
11747.9,3054.99,1811.44,2360.82
9539.85,4525.57,1704.94,2128.58
12626.9,9271.01,3659.44,6828.21
16382.4,1889.22,1776.2,3473.11
7520.34,11452.4,655.392,-240.507
15740.8,3783.59,2164.45,3769.41
