"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.84936e+06,1.44157e+06,194651,290617,240816,176032,2007.3,-8540.39,2.39331e+06,23649.9,844.239,3464.19,7568.57,1.5934
1.38951e+06,1.09028e+06,157764,206064,176994,143437,1947.74,-8161.9,2.54135e+06,29954.4,2113.86,3259.18,8494.56,1.8733
1.46392e+06,1.12233e+06,139042,207275,173854,125029,2674.82,-7748.44,2.32613e+06,29342.3,909.347,4041.34,7568.4,2.457
1.7054e+06,1.36195e+06,155041,189423,165112,143866,2069.04,-11467,3.26152e+06,16359.6,219.362,3370.73,10536.2,2.5554
1.57311e+06,1.25511e+06,137460,149236,124393,125983,2920.05,-10064.3,3.10229e+06,21832.7,918.737,3703.56,9864.37,2.5926
1.48776e+06,1.16069e+06,148013,194775,164286,136716,1918.62,-8373.87,2.51009e+06,31782.1,3411.2,5165.17,8081.25,2.6072
1.31066e+06,1.02916e+06,154852,211628,177994,141282,1339.31,-6876.12,2.32958e+06,25268.5,2858.12,2968.81,7231.13,2.8407
1.49353e+06,1.19661e+06,137831,184714,155483,124662,1885.7,-7850.96,2.3487e+06,27130,1832.67,3509.7,7525.44,2.8436
1.43803e+06,1.18485e+06,150158,174158,149051,136971,2388.89,-7550.94,2.33505e+06,25457.6,5309.7,2510.77,7420.02,2.9041
1.72448e+06,1.42245e+06,139518,188252,166617,127018,2867.3,-10873.9,3.33214e+06,27657.9,1287.28,4364.91,10577.1,2.931
1.46351e+06,1.15612e+06,179822,258769,222754,163306,2214.52,-8259.89,2.6852e+06,34639,2020.55,4635.66,8364.73,2.991
1.65977e+06,1.28965e+06,154057,229726,194301,138882,2710.33,-9066.91,2.82505e+06,31035,2841.57,4046.88,8787.19,3.1191
1.74757e+06,1.34735e+06,135687,190333,157315,123399,2816.59,-8557.25,2.65916e+06,25279.6,1706.78,3618.31,8420.3,3.125
1.57433e+06,1.24856e+06,147492,206458,173724,131638,3038.98,-6987.88,2.03042e+06,31486.4,1494.8,4378.73,6493.78,3.1521
1.4562e+06,1.19975e+06,121209,162341,147964,115720,3304.45,-5895.07,1.87005e+06,24672.2,6101.27,3208.33,5121.77,3.2102
1.51922e+06,1.26611e+06,156831,229551,208270,144758,2635.03,-8006.84,2.60324e+06,25374.3,6456.7,2978.69,8576.27,3.4199
1.65128e+06,1.32e+06,124818,219007,190554,112324,1709.67,-4081.91,1.42428e+06,25706.9,2220.04,2779.29,4582.91,3.785
1.40062e+06,1.14632e+06,128442,174928,154759,119603,2033.56,-8015.53,2.248e+06,28079.8,1827.6,3484.64,7259.08,3.8876
1.44794e+06,1.22819e+06,125931,187102,150462,108216,2312.78,-8336.6,2.48224e+06,20828,1582.41,3602.11,7592.08,4.053
1.47825e+06,1.18951e+06,130703,159244,131211,121268,1986.98,-8308.93,2.37145e+06,19078,2353.96,3472.91,7129.59,4.1456
1.52268e+06,1.22983e+06,191966,205482,175279,180497,2351.43,-10833.1,2.83811e+06,24617.3,2317.29,4012.44,8125.62,4.1837
1.54461e+06,1.27095e+06,146066,189709,173732,141035,2124.39,-8900.6,2.54391e+06,23358.1,1483.52,3068.61,7765.21,4.2926
1.66654e+06,1.3504e+06,138076,203624,180025,128350,2586.37,-9763.89,2.99934e+06,24879.9,1188.98,4189.46,9865.83,4.3486
1.4291e+06,1.17861e+06,149831,176204,155380,142572,2451.92,-7859.01,2.4217e+06,24002.2,1565.37,3221.97,6931.74,4.4188
1.5179e+06,1.2406e+06,127374,183444,161599,117993,3248.42,-7488.17,2.64326e+06,30023.7,1849.83,4182.1,8465.27,4.4739
1.60363e+06,1.3506e+06,119456,174608,153681,109818,3320.64,-7336.73,2.29769e+06,18613.9,131.578,4074.05,6943.41,4.5662
1.55315e+06,1.26337e+06,137873,199816,176260,128103,2281.68,-8202.95,2.34752e+06,22893,2444.4,4138.19,7206.61,4.6398
1.48624e+06,1.16447e+06,127603,198276,166346,116281,2124.53,-5481.82,2.17688e+06,27411.7,1613.73,2858.23,6624.2,4.7002
1.66349e+06,1.35078e+06,123918,153914,139823,117644,1466.17,-7714.24,2.39567e+06,22785.7,1270.24,3527.99,7905.9,4.7574
1.54014e+06,1.21826e+06,115389,165297,140565,105281,1703.71,-5893.8,2.43494e+06,22878.7,-1332.72,3961.18,7749.5,4.8378
1.36428e+06,1.1301e+06,154067,187362,164026,142350,2171.97,-7069.35,2.35485e+06,28989.7,675.345,4690.73,7072.81,4.89
1.95581e+06,1.47838e+06,203447,268770,218028,180341,3834.83,-12691.4,3.72266e+06,38477.4,3089.4,4329.35,12476.9,5.0629
1.38927e+06,1.08205e+06,206721,368392,260534,165246,2139.37,-6984.98,2.44742e+06,29572.7,2805.26,4699.49,8359.86,5.1666
1.36429e+06,1.10937e+06,138190,165885,140095,126971,1932.05,-8037.37,2.38811e+06,23299.7,2789.71,3777.6,7511.61,5.1784
1.48047e+06,1.24194e+06,131949,170065,151346,123282,2679.67,-8332.91,2.62081e+06,27638.6,5581.21,2861.23,7928.48,5.2881
1.44343e+06,1.16240e+06,129505,138837,122350,121415,2086.08,-8577.04,2.59456e+06,18184.8,1709.78,3590.13,7868.47,5.377
1.41088e+06,1.09042e+06,156969,270324,227092,143369,1390.81,-3859.7,1.57686e+06,24450.1,3441.3,3055.01,4869.35,5.468
