"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.35997e+06,1.07946e+06,182455,235714,197008,165812,1346.69,-7495.89,2.12984e+06,27006.5,3057.04,3875.31,7032.43,3.6175
1.37253e+06,1.13718e+06,136125,174306,157939,127904,1768.08,-6538.71,2.16513e+06,27191.2,655.729,4220.45,7580.38,3.622
1.05463e+06,830048,170206,201426,168895,155457,1487.11,-6789.45,2.30849e+06,31178.8,3342.75,4288.17,7641.84,3.7288
1.41393e+06,1.14468e+06,175463,273637,186258,143363,1630.64,-6216.55,2.22698e+06,24622.2,1839.6,3561.45,7508.07,3.7492
1.53896e+06,1.2094e+06,131866,176562,148303,115626,1812.14,-7998.92,2.51679e+06,27365.6,737.702,4251.63,8136.37,3.7632
1.85813e+06,1.42219e+06,304215,436587,381068,285148,1921.3,-9586.25,3.12632e+06,15387.3,-754.192,3012.57,10836,3.8555
1.57861e+06,1.26577e+06,135879,203503,172278,121825,2260.63,-8359.92,2.80185e+06,21774.7,1894.77,3956.82,8389.59,3.9318
1.3965e+06,1.12278e+06,120105,160870,138559,109332,2059.3,-5588.79,1.85614e+06,26076.3,1401.3,3038.04,6031.75,3.9459
1.43795e+06,1.15437e+06,169027,175223,146971,152165,2088.14,-10025.7,3.0192e+06,21356.2,2196.58,4090.28,9363.46,4.0293
1.48409e+06,1.2492e+06,123581,154173,137188,113635,2832.05,-7239.56,2.68329e+06,28811.1,-323.638,4186.6,7882.38,4.042
1.59566e+06,1.27079e+06,160539,199376,164799,145002,2851.34,-9495.14,2.81946e+06,31749.3,610.656,4564.08,9249.25,4.0936
1.53867e+06,1.28508e+06,118882,144756,125151,109140,1617.49,-8515.07,2.72571e+06,22647.3,1479.57,4829.98,8816.25,4.1072
1.45922e+06,1.15566e+06,178678,221535,187958,165803,1911.82,-8068.4,2.63666e+06,29094.1,1175.15,4208.59,8161.91,4.1369
1.61332e+06,1.28456e+06,132374,173480,149400,122427,3192.17,-11427.9,3.44624e+06,32970.6,2859.94,5397.61,10996.9,4.144
1.20404e+06,918569,167208,205546,165960,146935,1607.23,-7709.18,2.35444e+06,25039.8,990.539,4220.34,7721.7,4.2094
1.498e+06,1.21787e+06,159782,200434,175067,146459,2430.96,-10650.3,3.35206e+06,29656.4,-301.439,4269.66,10770,4.2107
1.53252e+06,1.17593e+06,143349,180332,148998,130831,1702.68,-6534.31,2.76811e+06,29470.5,839.891,4605.99,8875.07,4.3501
1.6108e+06,1.26596e+06,151747,171773,142158,138015,1937.07,-10979,3.2108e+06,22109.9,-597.668,4047.41,9732.83,4.4039
1.54578e+06,1.2591e+06,155884,175253,148492,141261,2331.14,-9004.63,2.94067e+06,54779.2,821.662,3198.4,8626.43,4.4296
1.54978e+06,1.23802e+06,135195,198761,167491,122025,2701.09,-6388.93,2.1337e+06,28643.8,576.901,3761.19,6717.38,4.4334
1.453e+06,1.1155e+06,165003,269416,213752,147515,2038.83,-3365.11,2.06457e+06,29149.9,2183.5,4516.12,6117.41,4.4391
1.24127e+06,971516,159606,253170,214830,144971,1639.34,-6866.32,2.38737e+06,31011.5,2596.25,4889.47,7554.76,4.6571
1.56037e+06,1.27944e+06,131304,178371,158691,124010,1990.97,-6615.9,2.1647e+06,24420.2,-243.94,2843.97,6475.98,4.6863
1.44684e+06,1.13906e+06,157971,211265,179546,145467,1828.63,-7092.11,2.26316e+06,29389.6,1017.63,4647.35,7428.13,4.7055
1.36862e+06,1.12128e+06,151111,170330,146053,138724,2195.8,-7889.33,2.40841e+06,24403.7,2698.7,3923.92,6973.77,4.7402
1.93923e+06,1.48187e+06,233136,345845,244331,192961,2099.89,-8678.98,2.60524e+06,22204.9,1732.97,3737.15,8475.19,4.7932
1.37719e+06,1.08726e+06,173909,230878,195466,160166,2478.78,-7431.1,2.32048e+06,30482.7,2262.61,4180.72,7118.07,4.8789
1.57575e+06,1.31066e+06,131965,228092,213312,123571,2750.06,-6385.28,2.40854e+06,28786.1,2719.58,4994.66,8198.88,4.9497
1.44384e+06,1.12877e+06,162393,232726,194215,146333,2660.05,-8304.71,2.43448e+06,29061.8,2216.07,3401.84,8209.87,4.9603
1.2647e+06,982753,165739,227001,188905,147034,1219.51,-8043.5,2.47914e+06,34256,809.312,4338.13,8642.5,4.9703
1.38904e+06,1.07993e+06,179970,248771,210793,163781,3413.91,-7959.48,2.55817e+06,30786.7,4100.34,6876.52,7273.45,5.0162
1.61765e+06,1.24244e+06,148053,177408,142162,133551,1941.93,-7397.39,2.77736e+06,19367.3,410.926,3625.25,7946.98,5.0739
1.30457e+06,1.02455e+06,173184,226783,180918,151609,2046.76,-8145.73,2.47042e+06,33894.8,4300.31,4572.91,7580.43,5.1764
1.6147e+06,1.33313e+06,131981,189750,174882,125270,1978.79,-7457.35,2.53095e+06,21323.8,185.562,6907.18,7798.38,5.2234
1.41214e+06,1.11380e+06,134795,192546,167861,125161,1815.8,-6769.38,2.30055e+06,25991.3,732.805,3477.93,7024.28,5.2511
1.45331e+06,1.16522e+06,150523,171904,148475,139348,1848.71,-9438.42,2.65933e+06,27888.2,505.381,3553.78,8408.03,5.2741
1.59988e+06,1.2909e+06,179105,234957,201571,159131,1834.22,-8644.68,2.95183e+06,36719.4,1632.14,5436.33,9660.41,5.3907
1.47038e+06,1.21853e+06,261277,553836,431302,226826,2420.65,-9242.68,2.82558e+06,31463.4,2537.31,4436.69,8758.64,5.6611
1.56204e+06,1.31416e+06,128702,188453,165316,117562,2930.59,-6609.08,2.43117e+06,25737.3,1378.6,3477.56,7388.3,5.7829
1.55701e+06,1.30298e+06,152419,205854,187429,143027,1765.45,-6271.43,2.5571e+06,26339.6,440.716,3298.51,7387.92,5.7899
1.53334e+06,1.25413e+06,209927,459863,437552,198936,1753.13,-8444.84,3.13251e+06,26761.9,1055.79,4712.46,10470.6,5.8298
1.25508e+06,1.02266e+06,136871,228528,200994,129278,1579.89,-6740.26,2.27531e+06,30030.2,2025.09,3617.68,7526.92,5.9574
1.38915e+06,1.16366e+06,160157,265213,239154,145882,2524.68,-8136.27,2.54697e+06,26896.4,806.349,4573.16,8037.82,5.9886
1.22691e+06,953119,191218,243068,197680,170523,2801.97,-9171.31,2.61397e+06,45552.7,1848.74,5316.15,8727.41,6.0104
1.57329e+06,1.28398e+06,264300,600977,564772,248643,1713.44,-6716.98,2.69226e+06,20381.3,86.7822,2302.98,9778.96,6.1007
1.5712e+06,1.27858e+06,196290,510116,472484,182265,1856.9,-7220.6,2.34869e+06,46098.4,2674.49,5380.12,8836.89,6.1578
1.37309e+06,1.11484e+06,156713,239359,202834,140819,1924.81,-7481.02,2.21871e+06,32627.6,3029.99,4654.64,7298.36,6.1716
1.33142e+06,1.11222e+06,114140,129748,113585,106691,1278,-6739.51,2.1583e+06,23905.5,1457.81,3154.47,6650.22,6.1757
1.14292e+06,879087,136098,164015,137361,124646,1281.2,-6896.19,2.19523e+06,28000.1,731.002,3838.84,6737.45,6.1925
