"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.32495e+06,1.0886e+06,140751,194256,167771,127660,2046.94,-5753.23,2.02645e+06,30316.8,1400.04,4075.04,6684.67,0.8472
1.44128e+06,1.1487e+06,171928,267802,223204,152348,2381.85,-8980.87,2.78945e+06,32424.5,2045.74,4834.33,8615.34,1.0945
1.56886e+06,1.29484e+06,137381,193503,177908,131116,1769.65,-6889.06,2.31997e+06,22474.5,621.808,3687.5,7331.27,1.2889
1.48823e+06,1.23636e+06,128480,201229,184595,121276,1790.4,-6892.56,2.43284e+06,27645.9,1536.07,4029.08,7146.62,1.3411
1.4107e+06,1.16542e+06,136993,183068,163883,130283,1543.51,-7044.9,2.23905e+06,22698.2,1436.86,2921.07,7550.54,1.4313
1.54288e+06,1.26117e+06,135908,186880,161945,123958,3224.19,-10034.5,2.7658e+06,36568.7,2369.75,4811.85,8883.63,1.7256
1.45268e+06,1.19442e+06,114548,152139,136652,110191,1765.29,-7326.53,1.91931e+06,17905.7,267.231,3502.28,5518.73,2.0575
1.37199e+06,1.14064e+06,170836,292133,270873,160079,1545.39,-6002.02,2.04254e+06,34293.5,2146.05,4326.48,6085.02,2.0747
1.44574e+06,1.16252e+06,158121,237830,207589,145216,3375.71,-7716.91,2.19199e+06,35851.3,3504.81,6563.47,6717.94,2.1145
1.38272e+06,1.14649e+06,243150,408343,382448,225255,3211.94,-8434.38,2.43178e+06,39580.1,4362.71,4126.23,9184.64,2.1916
1.28807e+06,1.02074e+06,217159,396600,302072,178282,2222.2,-6582.19,2.41374e+06,26009.9,2724.09,4509.03,8281.81,2.3002
1.78356e+06,1.33854e+06,139622,175873,132411,117922,1994.7,-8576.98,2.78857e+06,30800.9,1084.16,4715.27,8839.23,2.3529
1.57714e+06,1.2228e+06,190368,259059,221603,178686,3304.79,-8073.08,2.76649e+06,32240.1,845.325,5986.59,7923.43,2.399
1.35879e+06,1.11457e+06,165326,157338,139684,159119,2304.45,-10320.1,3.2128e+06,24383.4,1730.67,5218.23,8936.18,2.5741
1.40777e+06,1.12085e+06,268545,522813,371221,211620,2799.07,-9704.91,2.88422e+06,43878,1683.56,5316.24,9951.24,2.5934
