"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
26430.4,25292,68485.7,228.75,216,69404.5,55099.9,247.222,242.66,-132.09,-619.684,128.622,1.19643
25332.1,24300,68319.6,139.5,136,67222.6,47651.2,448.623,268.632,-169.064,-30.5597,-37.8077,1.20056
28673,27268,68912.9,177.75,160,72806.4,115016,646.397,185.025,257.106,-787.865,85.8991,1.22536
26765,25801,67984.6,126,141,58564.1,62545.5,829.115,9.90667,-315.636,190.374,190.275,1.24292
19753.1,18640,69449.7,325.5,304,70170.9,55412.2,185.045,200.671,289.804,-235.846,124.753,1.24912
26052.2,24782,68895,363.75,366,65133.1,55366.6,251.472,-312.772,117.891,-530.711,-103.235,1.29975
28496.2,27428,68088.2,135,144,61440,52593.2,219.239,-33.6997,-408.84,-666.006,156.661,1.30801
23614.1,22181,69770.4,215.25,193,73091.3,72594.1,364.918,553.972,-466.043,-750.117,39.6356,1.33178
20168.3,18668,70802.9,182.25,188,63531.6,49621.1,346.705,-298.127,-15.1377,-657.728,-149.928,1.34314
21545,20496,68890.3,188.25,176,70097.5,60025.9,346.491,218.965,62.6488,-550.31,49.286,1.35761
23032,21661,69684.1,198,201,64557.8,57268.3,184.438,550.599,-264.224,-368.333,154.52,1.36174
25722.2,24477,68869.9,134.25,141,62398.6,65568.3,240.547,194.061,-159.867,-631.073,-29.2671,1.36277
8435.46,8004,69068.8,300,292,67331.5,764.796,173.896,-250.103,-31.2905,527.467,-38.1904,1.40307
16001,14472,72460.2,90.75,124,47962.8,70108.9,246.028,222.331,71.2512,68.4368,-171.098,1.41443
29174,27970,68357,331.5,342,63523.9,58035.7,252.516,122.45,89.597,-681.209,134.342,1.4165
19596.1,18276,70269.6,174.75,164,69831.8,47496.1,455.596,339.693,74.9037,-356.956,191.668,1.42373
20856.7,19153,71365.4,183.75,193,62395,64648,191.677,388.49,-217.182,-410.83,0.300404,1.42373
26015.9,25254,67513.1,150.75,130,75996.6,62554.6,247.958,721.388,-82.897,-337.406,-58.7414,1.44129
27562.9,26321,68628.2,170.25,165,67621.2,57736.2,246.356,-271.503,71.8068,-314.152,139.074,1.45576
27397.3,26032,68973.1,144.75,128,74112,56534,336.733,125.531,46.3235,-844.554,5.9484,1.46609
13966.9,12932,70780.7,303.75,292,68173.1,39265,348.789,110.649,63.7582,-104.355,264.769,1.49812
24156.7,22823,69365.6,137.25,147,61189.2,57778.4,286.279,420.132,-343.809,-233.895,141.328,1.50329
27038.2,25797,68689.3,116.25,129,59058.6,49362.8,255.015,47.1395,200.243,190.489,152.207,1.52808
11305.8,9505,77952.3,270.75,257,69042.3,69656.4,325.802,414.905,-58.1808,-255.555,43.0979,1.53325
26623.1,25432,68605.3,209.25,220,62333.7,64665.9,271.827,51.7072,-435.694,-714.292,98.4484,1.53945
16513.2,14980,72243.6,102.75,80,84172.8,58502.6,128.155,144.918,-174.413,-769.297,-84.1259,1.54461
24944,23754,68819.3,129,158,53507.2,69468.2,232.332,123.024,46.9947,-478.42,401.858,1.54978
24584.3,23191,69473.5,210,215,64011.9,65166.8,220.419,36.3191,-119.614,-548.735,-17.1266,1.58077
10338.9,8304,81595.6,246.75,192,84224,38990.3,1332.48,924.195,735.057,-85.3759,173.529,1.59007
23829.3,22724,68723.7,147,148,65093.2,53982.9,275.622,-235.135,-168.545,-686.552,6.65654,1.59111
26171.6,25227,67990,150.75,155,63739,72128.3,299.07,286.783,393.858,-621.906,-51.6273,1.60557
22661.1,21588,68793.7,117,112,68461.7,48593,221.841,-11.4256,-179.058,-495.701,8.03251,1.63243
10500.6,9158,75143.8,453.75,422,70466.7,45855.4,275.362,-87.838,-238.127,-638.024,-4.58006,1.64896
23605.6,22730,68060.4,135.75,138,64467.5,42943.5,542.62,131.531,58.824,-602.722,-0.616335,1.65723
13987.4,12797,71632.2,144.75,121,78399.5,36384.1,1077.54,41.4957,165.062,-319.197,258.423,1.68616
20332.6,18925,70410.5,245.25,249,64549,61228.5,560.459,557.906,8.91449,-287.641,54.2333,1.68926
25217.3,24057,68696.8,126,125,66060.3,54167.8,294.136,203.269,-145.777,-437.609,-27.6228,1.70786
21237.5,20036,69465.9,273.75,256,70080,66676.4,309.527,514.924,31.9889,43.6265,163.775,1.70889
27112.1,25993,68357.7,121.5,125,63701,65396.1,199.608,272.611,-73.2863,-747.625,36.506,1.72852
27710.1,26536,68435.7,150.75,140,70568.2,53594.4,300.934,6.9115,-122.227,-283.183,67.0314,1.73059
27067.3,25573,69365.4,177,181,64087.7,60578.4,788.273,-145.187,162.698,-344.537,38.656,1.75435
26561.7,26065,66784.9,132,149,58058.7,62386.4,236.066,464.602,-427.744,-755.967,110.556,1.75848
19482.5,18585,68701,150.75,173,57107.2,53007.5,206.379,33.95,74.6668,-38.0334,-47.7791,1.76262
26429.7,25304,68451.5,117,124,61836.4,46731.9,295.247,24.8559,49.8272,-229.547,170.947,1.76262
14161,13081,70946.6,196.5,189,68136.6,43579.7,341.425,-26.6865,199.527,-207.467,1.41127,1.76778
24384.4,22889,69817.5,239.25,221,70947.9,60161.8,257.039,168.484,8.96461,-160.593,241.796,1.78328
21692.2,20329,69930.7,212.25,201,69204.1,52476.7,923.314,-31.6064,317.062,-38.3558,144.352,1.78741
22530.4,21553,68508,155.25,165,61663.4,57805.8,526.393,-293.368,-555.784,-66.7206,-116.332,1.80291
17131,15724,71400.1,173.25,168,67584,62392.4,688.602,233.9,-15.1038,-621.673,-9.13594,1.80704
27211.8,25924,68791.6,273,260,68812.8,59453.8,210.713,-475.895,-45.4733,202.005,174.866,1.81427
27283.1,26016,68727.9,175.5,160,71884.8,53991.1,333.473,-170.543,-5.22813,-274.65,148.089,1.81841
27805.8,26712,68219.6,170.25,152,73404.6,81609.1,278.525,110.819,-491.07,-991.115,145.881,1.81841
26068,24931,68524.9,135.75,167,53272.5,67554,501.923,219.553,-273.115,-333.225,74.6245,1.8432
26636.3,25256,69117.6,189.75,188,66146,72965.7,302.229,71.0219,57.7639,-433.844,236.436,1.8742
23558.7,22400,68926,382.5,400,62668.8,61798.3,1051.05,174.149,-1.10927,-638.502,55.1775,1.8835
25050.3,23898,68696,108.75,110,64791.3,45005.5,234.764,156.051,-170.139,-279.994,-36.4206,1.8897
24694.6,23336,69351.3,309,316,64084.3,49691.3,1227.41,-142.621,470.132,-516.78,317.726,1.899
15765.4,14889,69393.7,186,189,64495.8,37939.2,307.948,304.081,287.254,-302.615,63.37,1.94136
25439.7,24271,68691.7,110.25,111,65093.2,54241.1,1196.89,140.841,336.5,-250.97,-69.6943,1.94446
21975.4,20716,69520.1,256.5,264,63674.2,80655.1,335.324,285.936,65.4795,-744.804,115.871,1.95065
25730.8,24544,68704.8,298.5,288,67925.3,63911.3,218.389,464.577,-61.357,-431.643,121.242,1.95685
18822.5,17421,70808.5,264.75,249,69681.4,69527.3,244.259,844.603,-177.771,-394.301,57.0025,1.95995
