FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
2.13E+06,1.29E+06,991919,332818,610760,408632,896788,242580,823196,4675.45,12527.5,481941,61566.7,38694,16850.8,1145.32,0.6207
1.03E+06,651752,946153,314773,423931,304000,836705,242892,777563,2409.09,42538.9,79472.5,19336,10197.6,7079.77,383.503,0.6306
1.12E+06,758987,888742,455809,533853,372969,858816,341957,799766,4997.79,28589.1,53914.6,16025.8,9188.55,10471.4,2313.16,0.6401
1.72E+06,1.21E+06,849942,259980,430662,306241,843771,204314,763473,1652.02,6117.48,76783.5,7279.9,11450.7,6018.58,1083.63,0.6409
737837,405945,1.09E+06,310298,455517,280069,975867,209093,890412,3259.58,5391.89,219833,91300.3,23538,13515.9,956.632,0.663
1.49E+06,1.05E+06,848106,269206,502917,392325,769133,228099,708128,1563.13,98693.8,56000.1,15013.9,13299.1,7057.84,1223.32,0.6908
1.45E+06,969837,897648,356621,678678,487412,835447,282473,757497,1210.28,6039.57,75997.6,17110.5,14121,7276.72,531.42,0.6969
1.36E+06,756414,1.08E+06,411144,586629,352677,998016,271565,908388,4164.48,14281.1,72193.6,26916.8,12809.1,14822.4,905.087,0.7136
1.60E+06,1.11E+06,865601,437976,787290,588823,802234,334442,785744,5570.19,34403.8,65560.3,26005,11906.4,11993.6,2057.38,0.7534
1.94E+06,1.34E+06,868512,230254,414010,306838,809567,179873,768056,1561.61,132105,55435.2,47274.1,7707.05,9857.61,795.289,0.8018
1.27E+06,705642,1.08E+06,333999,495481,284227,1.05E+06,209404,956998,1812.81,27059.4,65391.9,17101,11589,8394.13,583.849,0.8521
1.13E+06,690485,978808,264433,477172,332260,861684,201579,787085,949.075,42919.3,71538.3,18116.5,8825.55,6309.81,447.949,0.8538
1.78E+06,1.31E+06,814699,139256,199914,155200,772862,118262,706511,1244.21,39754,171410,9075.74,3746.46,5563.75,163.34,0.8635
1.48E+06,1.01E+06,878484,277701,302321,218792,829064,215304,773885,1167.04,27885.7,134189,19236.3,6153.58,15569,-198.972,0.8665
1.39E+06,1.04E+06,800863,165011,176568,136949,773577,142322,695651,1079.45,26151.8,147417,759.586,4135.52,2819.48,-49.1342,0.8906
1.16E+06,812369,854175,410234,571754,413791,829048,316933,776633,2635.5,16774.5,87353,18021.6,12500,11616,893.366,0.92
1.27E+06,994687,766508,242937,242552,180946,804278,198337,734922,1742.88,14299.3,66251.5,12194.4,7300.67,5368.19,277.923,0.9233
1.10E+06,790777,837821,306301,396829,310579,766623,250014,735082,1749.48,26679.1,39389.9,11872.9,7253.26,7040.59,428.745,0.9456
1.73E+06,1.30E+06,798348,232515,445919,331555,806960,184641,755569,1078.6,253303,45483.7,8286.48,9378.07,9057.67,1657.49,0.961
1.01E+06,699941,869523,358891,422118,301418,840265,276401,779065,2116.91,25710.2,73504.9,13175,10088.3,6967.08,849.93,0.9688
1.43E+06,1.07E+06,803519,155593,236232,180101,786997,136369,684583,1758.67,10597.6,80070.4,5601.33,3200.55,3581.95,602.938,0.9772
1.84E+06,1.29E+06,851617,345677,498367,351685,850251,261121,794292,2093.32,6176.58,158758,11054.1,4131.28,4602.6,689.962,0.9836
1.43E+06,1.05E+06,819074,300776,374338,291786,769752,249795,722456,5643.46,54472.3,187352,13767.1,5569.22,7499.6,1257,0.9847
1.55E+06,1.06E+06,882508,294937,400016,298573,803856,239652,738413,1959.71,3195.14,171012,77926.8,12838.5,11115,537.803,0.9905
1.85E+06,1.37E+06,806909,260727,491782,380318,775848,216386,722948,1925.84,21467.4,55067.3,5176.54,9204.21,6626,739.239,0.9923
1.68E+06,1.08E+06,935657,387051,408637,269865,908537,292911,792836,2819.72,5126.71,287898,29155.5,22979.5,11186.6,135.874,1.0357
1.06E+06,672747,941223,233491,401229,293135,821252,190717,734567,1145.03,43326.3,105839,6081.52,3652.73,4372.71,826.619,1.0408
1.40E+06,1.02E+06,818790,333249,498986,357215,838128,260881,766438,2950.85,6493.59,58725,15332.8,11412.8,17210,1034.81,1.0621
