FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.63E+06,1.25E+06,779161,165708,277924,221107,754179,139954,710412,945.299,36848.6,54319.9,8359.08,16374.7,5780.88,1151.72,0.1957
2.04E+06,1.46E+06,835798,168492,286385,206328,832805,134198,753329,1629.21,23218,59645.6,11433.4,20092.4,6466.37,1301.94,0.2009
2.28E+06,1.58E+06,862723,365676,646020,485624,798173,289686,757390,2722.68,132195,78398,18688.8,17065,11092.5,2342.57,0.2054
1.71E+06,1.24E+06,826097,305598,445680,307785,868815,230270,796277,2982.49,75831.3,90492.4,13921.2,22809,11305.4,2472.01,0.2057
1.39E+06,971317,856308,275265,500614,361640,830572,216848,761634,1237.33,190718,76442.3,22799.1,22431.1,7932.06,1363.99,0.2122
779064,489750,954442,367326,624166,426394,878294,277596,793943,2787.27,71859.2,74337.2,37392.9,18876.9,8816.82,2274.95,0.216
1.75E+06,1.27E+06,826097,293794,490069,356923,823823,228238,772336,4418,159954,55915.1,17097.1,16126.8,12650.5,2448.33,0.2181
1.67E+06,1.19E+06,837565,237885,303724,217842,836543,192606,741053,1603.92,28727.5,57269.9,10737.7,12740,7636.94,1545.36,0.2559
1.83E+06,1.27E+06,865914,345480,692852,499750,831838,255611,810950,4088.72,304681,60501.3,16465,17854.5,10314.1,3973.64,0.2654
2.43E+06,1.60E+06,910591,208032,407556,262660,930989,141205,883955,2165.46,80885.8,68110.9,15059.7,25978,8291.73,1793.86,0.2807
1.80E+06,1.27E+06,849002,374194,786982,448232,1.05E+06,244901,916764,2891.26,23384,92146.6,24805.6,23688.9,9817.79,2332.44,0.2868
1.84E+06,1.33E+06,827796,204065,375224,277062,812578,161335,758912,1789.25,23289.6,61047.4,10728.2,18758.5,5912.33,1610.7,0.2905
