FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
2.01E+06,1.23E+06,979226,428446,696847,400415,1.04E+06,278015,924654,4156.58,4435.39,53613.7,19901.6,9253.31,583.352,2199.38,3.3765
1.04E+06,620576,1.00E+06,118133,172673,106431,973438,80082,885094,3349.03,14454.6,4411.01,4729.79,-541.09,718.843,2656.42,3.4289
1.44E+06,987413,875108,279443,427970,299495,857383,222030,755150,2099.51,2248.42,75557.2,17996.6,8908.4,5755.93,719.721,3.4853
1.68E+06,1.13E+06,895638,472674,603495,422076,857896,376734,752797,3531.5,49729,48390.5,17678.4,10769.6,8682.26,1901.99,3.5419
1.50E+06,1.04E+06,865370,492954,703962,471546,895728,354224,834986,7126.5,109828,59283.5,21360.7,9652.89,10623.4,2908.17,3.7056
1.51E+06,1.09E+06,836872,387322,580446,407692,854241,296593,783543,2116.22,15347.6,121848,19392.1,19586.2,13078.7,1180.84,3.7785
1.50E+06,934263,961715,402450,706402,465345,910811,299695,805719,3273.62,6423.63,80535.9,24119.4,16254.2,11606.8,1012.56,3.9044
859326,648277,795333,168766,305752,243029,754853,149444,677577,3322.93,12781,3466,2859.61,78.8191,117.222,1269.02,3.913
1.64E+06,1.14E+06,864096,412567,570974,394418,868582,306797,806852,3375.37,31653.5,83955.9,21285,15591.4,13788.3,1364.48,3.914
1.72E+06,1.06E+06,971625,618805,1.22E+06,764289,959549,438630,846460,4132.3,5959.22,127946,66121.2,15790.5,12975.1,2489.52,4.0811
1.65E+06,1.14E+06,873790,310805,464925,326018,855643,247962,752062,2526.13,45209.4,37241.7,9676.1,9635.14,7225.57,946.294,4.1251
1.72E+06,1.24E+06,832220,285723,536957,385900,834864,222888,769149,2016.3,8326.18,55587.7,13218.3,12071.3,7771.89,550.145,4.1409
1.49E+06,992547,898742,357375,527684,361463,875913,279853,766206,2038.65,50114.2,71057.5,11170.1,12031.2,14628.1,302.828,4.2998
759728,583358,781401,130102,233898,167423,838228,105387,740710,3064.72,13855.3,4519.28,4077.26,-87.7715,427.658,1735.94,4.3538
1.39E+06,974546,856098,361420,481010,337473,855198,279094,776987,2167.5,15757.5,46393.2,9842.71,7799.55,8212.54,1758.99,4.3976
507697,357132,852956,290119,580247,397293,876300,206300,843778,885.834,3762.9,2603.76,1653.18,117.355,216.578,79.9299,4.4349
