"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
16253.2,14748,72224.5,475.5,440,70823.6,409.629,1945.93,138.919,161.705,298.233,13.2363,0.680672
24371.8,21672,73700.2,672.75,600,73482.2,2739.59,3997.68,1101.67,966.208,254.797,309.518,0.680672
24336.8,21373,74624,733.5,665,72286.7,1150,4893.34,976.248,868.346,-103.117,453.792,0.6829
10521.1,8825,78131.2,588.75,557,69271.7,288.897,4380.84,2173.11,864.865,283.143,33.4819,0.686242
19359.1,17564,72234.1,577.5,556,68070.2,1717.45,3022.19,136.699,546.307,622.06,143.14,0.686242
23873.5,21677,72176.7,411,381,70696.3,371.795,2064.26,356.494,138.825,263.122,164.059,0.687356
32195.5,25041,84260.3,903,753,78591,810.477,7463.38,2364.54,1488.08,242.141,609.505,0.687356
13467.3,11583,76197.3,427.5,395,70928.2,294.268,3534.26,769.792,496.743,-9.16013,70.7795,0.691812
23503.9,22196,69397.8,396.75,368,70656,30553.9,6212.4,2463.42,1223.83,205.79,37.6208,0.696268
31137.5,24502,83284.1,981.75,818,78655.2,4050.77,6603.98,2543.5,1500.74,833.582,425.48,0.697382
19246.9,17526,71971.1,612,598,67070.3,781.964,3118.97,1015.48,572.723,515.062,-115.291,0.698496
15481.6,13985,72549.4,525,501,68675.5,697.537,2829.73,712.522,508.809,-7.0173,53.9289,0.69961
15886.2,14724,70708.9,348,308,74047.2,1073.63,3004.21,1250.96,348.318,51.2823,156.176,0.700724
15226.2,13917,71701.1,550.5,505,71440.7,741.019,3392.14,1530.85,1265.64,406.185,345.309,0.700724
24974.4,21941,74596.5,702.75,629,73220.1,11.7795,4358.98,2279.84,2810.62,-224.883,488.861,0.701838
22207.7,20692,70336.5,559.5,516,71060.8,1554.43,3086.88,385.246,699.798,-165.109,184.108,0.70518
32857.4,29048,74130.6,507,492,67534.1,3032.5,4398.2,1366.65,160.847,49.2231,385.252,0.706294
21039.5,18502,74524,567.75,514,72389.2,1187.21,3780.35,1351.28,355.727,121.625,156.282,0.708522
21015.1,19404,70977.3,581.25,556,68512.2,980.9,3060.21,315.185,721.389,148.397,204.187,0.708522
16735,15057,72839.4,448.5,417,70486.6,1478.13,2467.79,220.063,37.3452,194.507,77.7712,0.714092
21739.1,20609,69129.6,203.25,197,67615.2,31041,6224.57,656.145,168.044,-317.009,-37.5349,0.719663
20704.2,18035,75235.4,827.25,727,74573.1,2299.82,5050.47,1475.52,3077.57,-15.5736,769.988,0.720777
15588.5,13276,76951.7,850.5,748,74516.5,4798.33,6828.64,2644.51,1919.4,386.129,752.427,0.721891
13377.5,11401,76897.7,842.25,729,75717,3364,5046.3,1663.2,810.06,123.374,280.854,0.723005
30128.3,28412,69495,299.25,284,69055.1,-12.8664,4269.6,30531.1,885.938,-705.403,128.531,0.725233
17209.5,15424,73122.5,740.25,660,73504.6,297.367,4130.47,1470.71,787.093,319.193,319.837,0.727461
20410.5,18928,70669,390,372,68707.1,1421.55,2068.95,518.81,-154.855,243.836,143.037,0.728575
16704.6,15072,72634.9,493.5,464,69702.6,103.435,3033.77,1461.77,527.685,-30.5518,-29.9891,0.737487
14089.7,12368,74658.9,388.5,352,72331.6,10374.5,2200.85,1070.44,814.038,-85.6939,-38.4878,0.739715
11437.8,9837,76200.8,600.75,569,69192.9,2579.64,3671.95,1385.6,532.38,511.673,206.355,0.741943
21661.2,20197,70287.1,433.5,437,65011.1,1406.1,2361.89,620.664,-25.7599,67.9869,128.449,0.741943
24532.2,18856,85264.2,1225.5,1084,74090.8,357.518,7498.11,1479.76,1669.89,561.266,218.857,0.744171
30220.7,26709,74152.8,415.5,293,92935.9,683.911,28166.8,651.056,1160.15,-240.266,71.9561,0.745285
24924.9,22836,71530.8,521.25,480,71168,615.892,4055.34,297.346,76.6623,437.72,366.075,0.745285
21995.8,19935,72310.9,676.5,623,71163.9,638.75,3459.01,1138.36,305.582,622.04,231.473,0.748627
23517.8,19873,77555.5,387.75,325,78189.5,3347.58,1444.38,615.998,64.2448,486.093,-108.556,0.749741
19866.7,17509,74360.7,503.25,453,72805.7,728.484,3798.44,1382.67,1423.41,93.8997,-114.585,0.753084
25660.8,22569,74514,706.5,669,69209.5,2375.33,5909.74,604.561,1757.3,-124.375,282.12,0.753084
20168.9,18605,71045,318,313,66582.9,2464.47,2499.09,640.281,-141.205,267.616,434.154,0.755312
33948.4,30997,71776.1,363,357,66637.4,1180.03,5799.75,844.064,72.9492,-165.878,146.417,0.75754
19498.4,17953,71177.3,573.75,517,72729.8,2109.75,2283.58,598.956,212.48,272.675,369.26,0.760882
21002.5,19300,71317.2,546,496,72142.5,416.058,3273.26,602.134,370.45,630.374,231.212,0.76311
19268,17419,72492.7,568.5,527,70696.8,1241.67,3789.63,654.646,660.07,201.651,195.122,0.764224
19127.5,17600,71223.7,465.75,436,70007.8,1280.12,3288.17,604.298,330.641,497.883,-63.7204,0.765338
28128.5,23825,77373.9,323.25,289,73302.8,639.838,5006.9,515.98,37.3051,234.891,329.512,0.766452
19678.6,17928,71935.2,427.5,408,68668.2,758.333,3003.56,863.677,677.505,187.02,121.442,0.766452
