"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
23576.5,21324,72458.8,465,444,68635.7,1138.58,3334.03,449.604,1333.21,123.31,229.508,0.648368
19826.4,18176,71486.7,395.25,384,67456,796.522,1972.28,399.64,259.066,-74.213,195.838,0.649456
21663.8,20245,70129,414,385,70472.5,923.866,2135.07,-18.8347,32.4934,294.352,51.1021,0.651632
24676.1,22888,70655.9,267.75,264,66466.9,758.629,1464.02,582.348,862.301,375.548,91.2761,0.65272
23383.1,22248,68879.8,311.25,332,61440,756.58,1859.11,698.444,600.186,-62.3635,186.412,0.654895
12470,11331,72124,397.5,387,67314.1,712.445,1561.83,-418.33,474.893,678.455,341.015,0.654895
19317.5,17848,70932,269.25,264,66839.3,26081.5,3392.35,-372.414,-281.445,688.948,185.517,0.655983
15374,13672,73694.6,780.75,700,73096.1,643.071,4257.07,1319.28,1381.52,-38.7979,396.051,0.657071
21736.4,19923,71501.2,459,439,68521.7,1615.83,2268.72,244.785,535.817,779.238,39.9966,0.658159
20374.9,17893,74626.2,555,513,70901.5,210.628,3118.68,1084.62,1373.45,60.5282,537.408,0.658159
20438.9,19240,69619.7,226.5,236,62897.9,3481.19,1414.69,-220.612,-298.621,43.4107,294.488,0.660335
18616,16685,73120.5,570.75,537,69654.9,442.101,2733.31,103.567,521.338,144.961,161.475,0.662511
12056.9,9032,87484.5,714.75,636,73650.7,65.399,4859.66,1207.17,1309.39,15.1574,231.324,0.662511
19516.2,16489,77567.7,594.75,557,69977.6,308.14,6940.6,2188.72,713.505,-1.26495,458.633,0.664686
17440.5,15740,72616.3,522.75,492,69632,539.646,3597.69,679.376,942.678,109.853,369.763,0.664686
34298.9,31545,71257.3,216.75,237,59936.4,610.933,2968.97,845.704,576.154,98.4815,287.322,0.665774
20843.5,18848,72474.4,497.25,432,75434.7,1369.18,2975.5,1233.88,1607.92,319.848,510.413,0.66795
14303.5,12396,75620.8,608.25,536,74369.9,1032.87,2490.76,1083.78,1115.72,136.755,475.571,0.66795
11015.4,9025,79989.5,637.5,561,74472.7,600.812,3569.67,983.167,935.075,163.008,419.766,0.674477
12136.7,9018,88200.7,828,666,81477.2,93.1538,9098.82,3193.72,2734.36,-780.651,15496.4,0.677741
18659.5,16101,75950,482.25,421,75070.6,462.906,2389.25,592.3,541.827,205.585,392.516,0.678828
19411.3,17784,71532.6,354,348,66665.9,523.272,3547.75,801.997,231.787,436.994,354.503,0.678828
12951.8,11352,74772,654,604,70961.2,670.575,4186.76,1604.94,967.781,90.938,184.626,0.678828
23208.2,20536,74063.9,714,648,72211,1224.03,4518.97,2063.32,2927.14,731.947,693.938,0.682092
24111.1,21885,72202.3,539.25,493,71684.1,769.03,2507.35,963.535,423.391,136.141,-198.61,0.682092
27454.7,24589,73173.8,286.5,265,70853.1,3595.94,7674.44,1052.79,971.895,683.52,266.764,0.686444
10245.2,8801,76290,376.5,337,73217.5,1109.12,2184,517.553,570.144,248.828,-86.1863,0.687531
15438.7,13628,74243.6,524.25,508,67632.4,655.682,2200.63,722.501,-174.056,544.33,195.897,0.687531
23494.7,21964,70103.2,306.75,264,76148.4,1200.4,1990.09,742.968,186.407,259.915,203.778,0.688619
12149.9,10750,74070.6,392.25,394,65244.9,712.041,1829.51,841.12,590.657,386.601,357.439,0.689707
42268.4,32596,84982.9,653.25,496,86313.3,1595.6,3488.89,779.557,776.095,400.431,100.551,0.694059
17146.8,15482,72583.2,549.75,494,72932,770.315,3378.59,885.2,967.712,104.711,66.2543,0.694059
17634.5,15981,72317,462,445,68039.6,4437.96,2802.08,104.391,570.422,729.449,435.092,0.696234
15143.7,13541,73292.8,583.5,533,71745.3,1006.21,3449.03,1070.79,745.343,342.626,230.269,0.697322
31154.6,27773,73515.7,261,265,64546.8,1025.34,5249.57,611.837,428.05,-229.35,169.615,0.697322
17279.5,15721,72032.7,502.5,457,72060.9,854.784,2041.94,561.191,494.994,663.019,385.512,0.700586
15269.8,13442,74447.2,633,562,73815.5,2799.47,2585.55,509.477,287.542,81.4226,169.804,0.700586
19453.5,17789,71668.1,480.75,445,70801,20024.7,4416.72,968.801,530.176,436.077,603.003,0.703849
16640.6,15429,70682.3,291,293,65088.7,1277.27,2864.66,-54.7503,455.887,126.687,81.5045,0.709289
17926.3,15692,74867.1,771.75,684,73943.6,551.171,4323.48,1676.29,1027.05,-119.855,670.902,0.71364
19434.4,17421,73110.1,512.25,473,70974.2,1188.05,2876.25,492.63,1014.38,316.013,454.865,0.715816
25945.9,24481,69457.6,354.75,357,65123,5385.63,2295.51,947.556,367.436,551.781,209.591,0.720167
16650.5,14493,75291.9,432,409,69221.4,1120.04,3713.14,188.395,474.007,141.23,262.815,0.720167
24460.3,22212,72169.5,376.5,356,69309.8,322.409,5080.53,236.383,808.143,137.574,239.666,0.721255
16955.4,15572,71358.2,510,464,72033.1,2501.99,2984.37,546.438,1173.21,-96.1541,402.991,0.721255
23812.8,21133,73846.4,618,553,73239.1,7.75003,4294.24,3312.94,1630.62,67.8612,550.195,0.722343
18361.9,16853,71403.5,493.5,453,71395.2,3252.14,1982.34,716.75,160.48,424.486,316.475,0.725607
