FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.45E+06,1.08E+06,800981,232978,302947,235098,773158,197404,708126,1857.11,4588.23,76735.7,12691,15752,10381.8,172.944,1.2279
2.05E+06,1.46E+06,843731,317499,408481,298195,821908,245480,776029,2083.2,9612.12,75574.5,14487.2,11453.3,9363.95,964.286,1.231
1.35E+06,1.07E+06,756933,176180,203714,158397,771659,147786,715278,1131.16,120948,47499.8,4632.5,5435.53,3143.41,761.24,1.2312
2.15E+06,1.41E+06,915510,453181,547925,390816,841202,343986,790464,2045.91,30769.8,93938.4,12996,11504.1,7625.16,1738.21,1.233
1.55E+06,1.08E+06,859322,339510,393995,276696,854356,265021,768642,3366.32,15024.3,85326.3,23826.6,13739.4,8425.22,1868.64,1.2473
1.71E+06,1.03E+06,989023,389799,665311,447235,892566,295425,791671,2658.69,27925.3,136542,28277,8600.31,7800.44,2602.95,1.3698
1.87E+06,1.30E+06,863565,303848,483327,355335,816121,235547,773981,2043.54,12360.5,74360.9,11842.7,11615.3,7939.9,1381.16,1.375
1.91E+06,1.33E+06,862183,229300,388625,298407,781400,191460,718584,2601.37,31200.2,210763,17484.1,5074.25,8169.85,1427.65,1.4428
1.60E+06,1.19E+06,807259,287516,439392,334936,787121,236403,729727,2186.83,61004,79061.2,16513.5,12160.7,9963.19,1140.68,1.4521
1.47E+06,1.05E+06,836802,209882,283670,206171,825538,168627,746792,1614.44,5983.39,76638.3,9673.68,13860.3,7251.41,458.257,1.4691
982441,660779,892075,213987,256321,191801,801834,172666,743586,1960.11,14230.3,65295.3,12503.8,6438.76,6457.94,520.322,1.4747
1.82E+06,1.31E+06,833274,129617,260276,209262,746269,114079,681722,1561.19,15822.3,69350.5,21338.7,5285.9,9407.81,882.39,1.5162
1.28E+06,842120,909861,307803,576169,412093,838892,242688,760984,2395.1,15221.8,109998,31336.2,6733.86,5427.52,1241.32,1.5541
2.45E+06,1.68E+06,873210,202945,277345,201584,825496,161499,753981,2910.56,31824.9,100926,30192.5,4456.92,6913.76,1821.82,1.5693
1.71E+06,1.12E+06,917637,287290,409983,289846,848692,232712,740718,4529.51,58764.3,337887,21840.5,9968.46,8427.56,1255.37,1.6061
1.04E+06,537771,1.16E+06,273163,513111,258981,1.19E+06,137618,1.19E+06,1983.89,10126.4,3310.56,3587.96,-51.2118,293.454,1667.44,1.6405
1.59E+06,1.16E+06,825528,234807,326585,246700,794289,197937,711762,2211.53,1897.18,86048.1,16621.1,10260.5,5156.15,632.22,1.6858
1.99E+06,1.35E+06,882669,318569,537714,377693,854209,247612,771939,2472.55,5629.28,96481.1,17068.1,19771.6,7997.91,2341.97,1.7653
2.11E+06,1.45E+06,875030,293879,495495,349220,851318,235188,749730,1918.7,5567.45,42491.9,13690.6,11684.5,7223.33,1627.99,1.7882
1.52E+06,1.02E+06,893145,371906,601020,416676,865450,279288,798974,4747.24,58970.4,106067,34527.3,22672.7,9688.1,3784.26,1.8245
1.58E+06,1.10E+06,857326,280441,460421,349611,790172,232253,724488,1722.47,70209,99001.7,19638.7,12067.1,9326.73,1195,1.9076
1.71E+06,1.16E+06,886022,131397,192915,130506,886922,101141,779488,1025.43,17333.7,71743.4,5105.25,8731.68,5290.56,906.911,1.9129
1.69E+06,1.22E+06,831007,280240,456223,331967,824581,218570,769293,2199.12,11663.8,78886.5,12825,15667.1,7681.77,1394.73,1.9559
1.97E+06,1.42E+06,834937,173326,282149,216648,781402,147523,704947,1457.94,29617.5,126622,27972.7,9289.58,21790.7,1486.11,1.998
1.47E+06,1.11E+06,789323,280920,377733,285406,794096,227796,739926,1947.87,12647.2,105933,22353.4,11148,5349.01,1010.44,2.0028
1.45E+06,985986,881470,374836,426635,322140,794626,301688,745478,2649.03,14859.5,103556,15870.4,12985.8,6970.14,967.24,2.0206
1.70E+06,1.29E+06,790536,126818,197617,150489,787899,109041,697821,1356.93,13815.3,132572,41601.2,7892.23,12591.4,224.031,2.0217
1.78E+06,1.30E+06,817234,255211,456108,340624,803422,206787,740503,1584.47,76658.4,82902.1,17459.5,12550.8,7623.28,1791.41,2.0735
1.57E+06,1.13E+06,835339,171131,339639,268738,758297,148427,691778,1131.63,27464.2,100429,11425,11199.1,4959.21,1440.73,2.1014
2.40E+06,1.52E+06,949991,317895,547337,362726,905373,226955,840417,2166.96,34409.6,237046,75706.8,28846.4,31928.5,2921,2.1129
847435,561247,905949,234600,319658,243730,786915,193461,727589,1554.89,7177.4,28011.6,6733.3,7484.88,5304.18,1101.29,2.149
1.54E+06,1.09E+06,850919,197345,295914,214575,827441,161629,732585,973.702,27059.1,75469.3,9185.53,6064.97,6298.38,1734.81,2.1783
2.46E+06,1.67E+06,886688,193474,310848,223435,834735,156567,741437,1452.45,14659.5,160199,99904.3,5184.73,70616.8,-683.723,2.2282
1.50E+06,1.13E+06,798342,259084,340414,267029,764892,218158,712559,659.402,31547.7,83762.6,17465.4,4976.17,6154.17,684.069,2.2406
2.66E+06,1.68E+06,950273,438761,1.04E+06,660073,940941,289021,910857,2525.51,5474.89,61823,12050.7,10938.2,6178.98,3111.79,2.259
1.00E+06,760666,792480,249329,325129,247201,789145,212685,703375,1678.13,8082.14,35387.4,2832.75,3988.91,3219.37,36.4404,2.3083
1.58E+06,1.09E+06,871743,341409,430957,302345,855229,270114,758367,3918.5,13838.6,71383.1,11399.1,17487.4,9020.01,1700.33,2.3096
1.30E+06,947739,824711,292761,352581,264247,800572,236855,741620,993.049,52955.9,68927,20653.4,11570.6,7240.55,1193.89,2.3243
1.13E+06,841202,807113,266088,315356,243096,778350,223080,715674,1987.92,184651,32375.1,13750.4,7158.76,5859.12,681.168,2.3721
1.71E+06,1.21E+06,845968,311059,532767,414765,770702,256840,726659,2608.57,29471.9,65342,19068.9,20867.7,8031.7,2268.35,2.4367
1.92E+06,1.27E+06,904846,400041,511581,352200,871518,305608,785400,4470.62,7300.53,142140,28584.9,23093.4,10272.1,1220.55,2.4865
1.54E+06,1.11E+06,837609,301762,581878,436060,800640,246731,733824,1004.74,13003.3,59068.9,9527.22,10306.1,9683.11,1137.59,2.5196
1.38E+06,969660,852428,285471,387239,271330,856312,223181,767461,1622.97,21494.6,71947.9,12097.1,14690,6081.44,488.675,2.538
1.46E+06,1.13E+06,777769,166285,199694,154913,773442,143048,697464,1775.69,27979,81294.8,24667,4251.36,7927.7,1279.49,2.5399
1.69E+06,1.28E+06,790248,236257,324314,256334,759121,199920,709055,1615.73,30019.3,96218.9,11113.1,12465.9,6905.98,772.791,2.5441
1.35E+06,992478,814009,216087,253742,191201,796258,177784,729268,1781.96,33086.9,113565,6023.31,6615.18,4685.33,1460.86,2.5734
592512,244307,1.46E+06,703325,837624,434847,1.16E+06,376209,1.12E+06,6037.18,30490.2,106138,27580.8,17848.7,8781.5,3215.99,2.6225
1.42E+06,925598,920010,279541,457228,311686,880170,213843,784335,2248.99,126143,74683.1,20500.3,8282.48,8675.21,1403.45,2.6785
1.78E+06,1.28E+06,838984,249067,333275,243372,821644,198787,751762,2591.33,7411.99,275216,41757.4,11469.5,23520.4,840.244,2.7032
1.94E+06,1.40E+06,834184,242732,322489,249800,774594,202550,719027,2146.82,113335,74701.9,45934.3,5118.04,12703.5,1443.77,2.765
424481,382469,665907,418539,573261,500946,686614,397521,631723,7578.12,33887.2,8927.94,5681.07,-791.383,-142.084,2668.98,2.788
1.90E+06,1.40E+06,809809,213343,363600,274552,794603,174477,733654,2008.24,26063.6,93485.5,20649,12524.8,10374,2135.68,2.8177
1.65E+06,1.19E+06,834950,190744,393885,308137,766966,161291,709566,1434.21,16361.7,98520.5,35773.9,13720.7,10295.7,845.057,2.8298
1.89E+06,1.29E+06,880407,198728,300784,234727,768854,166575,715815,971.494,35056.2,159216,20129.8,13255.2,10601.6,1526.77,2.8487
1.59E+06,1.22E+06,782417,311039,555162,466846,713506,278283,670624,2485.45,55791.7,60042.9,6765.91,7875.76,4583.5,1350.18,2.8546
1.77E+06,1.23E+06,864002,274960,536584,400063,804750,219322,752209,2224.49,4496.95,106538,25845.5,19608,9025.79,1937,2.8646
1.34E+06,926421,869314,350742,456313,330492,828424,271110,776235,4669.6,249615,43754.2,17716.8,5573.78,11795.4,2434.33,2.8701
1.27E+06,826587,920115,255869,459897,336289,820539,199957,767772,1733.83,100413,65528.9,10431,9158.89,7813.43,445.768,2.9199
1.44E+06,1.10E+06,787511,271517,329130,266300,741563,230204,707677,2004.73,57770.1,82801.9,8637.19,3349.54,6303.08,1359.84,2.9433
1.47E+06,1.05E+06,839495,345226,408714,297079,825466,270998,764343,2939.62,19722.6,62765.6,16658.7,13074.6,8980.83,1820.28,2.9452
1.98E+06,1.28E+06,928730,225632,379809,270639,842028,179368,754756,2063.15,3409.89,573543,15190.5,10601.5,14653.1,697.078,2.9849
1.59E+06,1.19E+06,805028,253905,360136,283321,762674,220929,689555,2597.42,4600.13,70658.2,7540.97,8033.17,9034.66,995.16,2.9865
2.13E+06,1.28E+06,996344,549813,838373,554158,907726,408796,806974,3474.44,7729.04,268301,20496.5,21376.2,12537.8,3958.42,3.0031
1.71E+06,1.26E+06,814816,206692,422246,335544,755035,176294,703457,1023.75,15139.2,64693.3,11197,10138,12200.6,669.275,3.0425
1.70E+06,1.19E+06,860168,284620,434728,304261,857281,228413,747645,2643.64,9453.09,78986.5,10540.7,12071.5,9326.47,762.512,3.0621
