"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
15658.5,13886,73901.5,713.25,666,70185.5,2863.94,3075.34,1437.14,832.792,-46.0064,222.455,4.16969
7181.46,6532,72052.1,555.75,532,68461.7,717.184,538.203,942.444,-35.6169,629.064,210.487,4.26681
11609.4,7759,98058.2,930,815,74783.4,833.312,5797.56,5742.53,2593.24,493.52,481.019,4.29029
21615,18228,77713.4,759,692,71881.3,23252.6,3681.73,2280.42,1406.77,614.061,729.31,4.29136
12592.8,11531,71570.7,585.75,527,72842,270.91,2759.94,1916.86,1075.35,-154.616,566.292,4.34472
20777.5,18669,72937.6,662.25,621,69889.2,664.393,3637.72,1691.46,299.565,108.505,381.997,4.43116
20860.6,18576,73596.1,684,624,71837.5,2982.74,2442.95,1312.81,572.17,861.814,827.194,4.46745
19952.5,17472,74840,659.25,596,72491,2489.22,3859.91,2530.02,677.759,247.484,495.761,4.56137
15764.8,14172,72901.4,670.5,648,67811.6,4859.39,2770.44,1288.34,770.408,586.294,410.029,4.59232
13966.3,12453,73499.8,524.25,501,68577.3,1122.55,4166.87,987.174,337.396,186.374,314.51,4.64461
8085.66,7306,72529.7,664.5,637,68365.3,441.369,444.117,330.688,274.812,872.389,313.846,4.71505
16924.4,14248,77846.5,917.25,840,71563,540.094,4737.75,4364.91,769.219,272.464,674.491,4.79189
20881.1,18399,74377,743.25,687,70901.9,1374.34,3132.51,1478.11,1209.96,803.742,375.035,4.8079
16795.7,14556,75619.8,805.5,732,72116.5,1458.13,3062.54,1649,1279.47,803.956,786.093,4.85059
18784.9,16606,74135.2,734.25,666,72252,770.017,3033.29,2315.01,2100.14,253.479,456.376,4.92529
18736.7,17193,71420.4,607.5,573,69481.9,850.757,678.169,454.368,390.751,542.649,267.085,4.9317
19403.3,16937,75079.3,754.5,697,70942.5,3799.98,3909.93,1426.78,794.041,720.322,507.477,5.1793
19672.6,17336,74369.2,714.75,664,70545,1525.76,2854.53,1183.84,953.369,218.4,500.097,5.23372
20802.5,17796,76608,870,784,72724.9,23785.4,3615.18,1310.81,1245.71,524.34,997.699,5.25507
18604.1,16236,75094.7,655.5,632,67972.9,273.794,3854.5,3989.48,1295.9,-213.751,647.278,5.3842
18443,15825,76378.1,795.75,709,73554.7,11064.7,3658.76,1435.43,941.68,916.79,739.26,5.40235
13182.8,10512,82187.1,929.25,800,76124.2,-1804.54,38.9254,252.044,321.109,20007.3,-265.741,5.47812
42729.1,34969,80079.3,1003.5,793,82932.4,3398.2,1141.96,-75.8814,929.013,964.733,76.2897,5.54002
17933.5,15428,76179.1,750.75,676,72782.8,9914.58,2831.16,2520.78,608.471,517.348,216.317,5.61793
31716.3,29148,71310.5,533.25,520,67205.9,3821.73,3166.13,375.987,1083.74,290.606,701.432,5.6905
16569.3,14839,73177.8,556.5,531,68683.2,1543.09,2310.15,1549.8,784.149,271.739,399.264,5.74173
6339.96,5446,76293.7,591,534,72531.4,-4167.35,3847.6,127635,1348.72,15577.9,5237.87,5.81644
17565.9,14701,78307.5,849.75,797,69873.5,1205.73,4108.19,1450.61,2281.79,-32.1389,471.597,5.87727
10336.9,8641,78398.4,441.75,401,72195.8,3113.73,2525.07,1451.96,1588.61,22.2025,422.158,5.91462
13404.6,11433,76837.6,901.5,829,71267.4,251.639,2430.1,1742.72,790.709,83.5017,380.787,5.91996
9163.44,7558,79456.9,405,354,74977.6,994.612,155.132,508.173,303.342,567.038,102.081,5.92956
19002.7,15525,80216.6,1059,933,74386.5,8161.71,5063.13,5962.14,3034.08,794.251,1380.64,6.00427
19864.7,16893,77064.6,882.75,793,72953.2,758.338,4316.13,2072.57,960.313,460.415,1012.73,6.14408
13426.4,11184,78675.9,930,848,71873.2,509.31,1038.58,971.263,393.899,908.479,153.269,6.16756
20140.6,17802,74145.1,565.5,506,73242.3,348.574,2932.37,3178.16,1265,610.291,260.579,6.28282
15429.5,13345,75772.7,765,709,70712.3,661.936,3796.97,1864.54,1051.24,381.598,793.294,6.31483
19783.5,17200,75379.7,832.5,772,70671.9,181.497,2786.59,2100.73,1822.25,209.473,642.762,6.38634
16657.7,14468,75454.9,829.5,772,70417.2,2846.3,2605.86,850.736,644.564,685.326,180.79,6.48666
20102.3,17425,75605.3,924.75,817,74179.2,134.959,3716.74,3329.65,1490.98,95.5788,886.499,6.54643
19513.6,16529,77369.5,981,853,75370.2,43.5925,4523.37,3321.59,2336.84,525.229,392.378,6.54856
29589.8,26544,73055.9,365.25,336,71241.1,851.522,2099.6,-158.11,192.282,711.671,458.182,6.6809
18878,16360,75622.7,835.5,760,72046.5,1429.86,3379.54,1124.07,613.886,134.756,562.688,6.70758
17841.8,15652,74704.8,696,660,69110.7,347.594,2261.62,778.683,1424.23,793.105,122.193,6.81537
21651.3,19557,72554.1,607.5,581,68525.2,2806.38,3445.68,604.621,888.984,6.17648,380.499,6.87407
18528.8,16321,74401.5,834,741,73761.2,3177.53,4093.33,1809.41,2332.88,142.546,404.788,6.88687
28306.1,23341,79476.8,455.25,409,72946.9,51620.5,395.432,265.976,-17.8517,496.478,15.8994,6.94237
11860.2,10101,76949.8,748.5,645,76052.2,736.355,3511.38,2006.83,376.234,351.041,707.928,7.03949
17695.3,14916,77747.1,900,800,73728,2397.95,4383.43,2219,1166.24,1015.82,481.741,7.10352
33720.7,25465,86782.7,1124.25,985,74800.9,1023.26,6931.28,3308.56,1606.02,830.718,465.003,7.10993
17508.5,15240,75291.1,611.25,572,70033,1219.85,2798.28,1742.85,538.717,309.774,269.385,7.14835
20865.9,17181,79591.8,849,653,85206.8,-995.653,3934.32,1806.43,2428.64,348.078,18076.7,7.26254
10296,7953,84843.3,751.5,673,73180.2,-5.8593,4738.16,6253.52,1719.01,610.746,224.046,7.39274
26319.5,18103,95281.1,952.5,791,78916.6,2211.27,5596.57,2808.55,3129.83,281.549,610.006,7.54963
18428.5,16462,73364.8,662.25,618,70228.5,2661.46,2979.17,786.528,616.096,59.8604,459.811,7.5667
33120.8,25685,84508.6,778.5,673,75809.5,859.977,5082.47,3333.61,3340.44,-82.4036,616.4,7.63927
10743.5,7797,90302,883.5,501,115571,1355.58,268.745,-119.274,687.71,895.667,198.603,7.6777
14817,13456,72164.6,537,500,70385.7,6096.86,2039.61,956.403,45.0481,362.356,166.939,7.76414
25034.5,22504,72905.2,636.75,604,69089.5,6996.05,1922.26,705.961,442.161,342.65,704.492,7.81217
14281.1,12296,76116.2,492,444,72621,470.404,323.98,483.1,-184.248,863.657,331.729,7.97439
19343.3,17042,74385.7,859.5,758,74311.6,4957.49,3462.67,2254.2,1412.74,351.127,720.567,8.05123
16640.6,15158,71946,634.5,614,67724.1,603.329,583.118,-13.6067,-15.7863,860.637,118.428,8.14621
20283.1,18240,72876.9,583.5,528,72424.7,6855.96,3266.02,1211.33,954.88,-97.5214,449.994,8.24653
14537.2,13384,71182.6,629.25,600,68730.9,930.338,558.677,755.118,800.376,876.486,0.766208,8.27748
15459.2,13349,75895.8,696,661,69006.1,3047.58,2959.69,2653.25,866.319,242.989,758.32,8.32017
15824.2,14158,73248.5,714.75,686,68282.6,2662.2,2887.83,1457.97,540.479,106.445,271.924,8.492
22483.6,20198,72951.9,582.75,566,67475.4,10886,2587.36,683.823,1191.6,41.3467,1072.92,8.492
6874.56,5744,78435.1,565.5,484,76571.5,914.428,185.605,734.61,-527.912,466.574,-4.94444,8.62647
11281.4,9550,77417.4,742.5,682,71349.7,2900.09,2924.2,1208.31,956.102,172.504,246.578,8.6318
20266.6,18259,72741.8,551.25,499,72398.2,25966,2306.04,719.635,777.174,359.279,430.078,8.67022
21626.9,18468,76745.7,807,756,69957.1,3452.75,4075.54,2805.91,1539.66,389.125,869.443,8.75667
15611,13752,74395.1,718.5,664,70915.1,834.175,2299.15,1726.52,323.268,54.5005,189.992,8.77054
16763.3,14977,73352.6,727.5,657,72568.4,6058,2646.64,1269.02,374.592,521.277,231.499,8.79509
37950,30448,81683.2,900,800,73728,-1772.84,978.012,99321.5,1147.4,2258.04,1146.93,8.93383
21568.8,18581,76074.1,771.75,705,71741,1323.18,3241.23,1157.77,1417.38,633.721,440.356,8.99146
17796.2,15413,75669.5,716.25,657,71446.2,14788.4,3845.05,368.732,90.9982,-153.941,799.05,9.00534
17908.4,15112,77663.3,899.25,844,69826.1,1595.34,1412.62,1776.23,681.822,758.044,197.416,9.0555
17842.4,15381,76023.8,945,821,75434.2,2811.56,3354.51,1820.49,1493.62,642.932,333.642,9.19317
15626.8,13949,73418.8,555,537,67732.7,524.067,944.504,704.459,1668.13,969.667,-39.026,9.29883
16422.8,14009,76828,919.5,825,73042.9,267.1,4331.29,2270.47,3726.92,-30.4954,881.139,9.42476
17692.6,15877,73030.4,714.75,657,71296.6,570.337,1119.91,143.049,936.797,709.522,-86.7827,9.43543
24243.8,19733,80516.9,690,609,74252.6,1765.2,3968.1,2764.89,4155.49,337.074,780.888,9.44077
20826.3,18765,72735,670.5,617,71218.6,1288.75,2611,1546.58,771.418,647.144,166.807,9.46531
20746.4,18761,72471.6,659.25,621,69572.6,3012.06,2436.74,744.578,154.207,723.121,292.952,9.51227
17352.1,14503,78410.3,969.75,871,72966.2,11831.9,3587.46,2311.33,924.363,399.295,413.462,9.55496
22310,18633,78468.7,886.5,793,73263.1,12061,4568.48,2515.25,1055.61,915.218,467.212,9.56884
12320.2,11271,71636.8,627,595,69060.6,284.737,563.482,1432.38,938.567,1030.85,37.5822,9.57844
22858.4,19804,75643.8,827.25,748,72479.5,1238.06,4236.28,1300.26,2358.8,-64.6774,87.3457,9.619
15362.8,12888,78120.6,918,824,73012.2,112.738,3995.53,1962.91,1888.92,354.783,439.343,9.83565
18777.7,15876,77514,799.5,740,70805.4,10366.8,5163.01,1307.34,1037.83,103.131,763.541,9.83885
19741.9,16976,76213.9,756,688,72013.4,10236.1,3179.14,1486,1512.98,997.864,607.376,9.95411
8542.38,7194,77819.5,804,586,89916.3,1172.86,270.232,784.02,145.467,969.392,-31.327,10
20277.8,17532,75800.2,714.75,680,68885.1,2275,3025.11,2048.51,867.927,519.921,572.285,10.064
17824.6,15105,77335.6,1011,885,74866.6,2894.73,2831.87,2802.99,406.075,32.3792,815.213,10.0918
13243.6,11544,75184.5,689.25,652,69280.2,6379.39,3112.29,2279.42,1392.27,498.578,737.856,10.1366
13343.2,11337,77133.4,900.75,825,71553.4,367.307,3777.78,3757.88,1107.59,87.2331,417.059,10.2359
21319.3,18532,75393,542.25,516,68870,13993.1,2164.92,645.678,1721.01,408.31,481.727,10.2721
21555.6,18784,75205.9,555.75,516,70584.6,3100.2,2768.47,1177.96,1175.03,346.091,411.708,10.3426
39044.9,29704,86144.9,758.25,700,70989.5,2237.07,5346.91,4565.1,2382.21,183.999,704.389,10.4098
15170.1,13128,75730.3,638.25,568,73641.5,3016.13,2764.43,1241.72,620.77,476.338,244.373,10.5176
14225,12573,74146.9,619.5,589,68929.6,293.25,687.031,231.422,290.683,871.703,160.563,10.5432
15575.3,12280,83122.6,927.75,840,72382.2,316.087,4254.34,2475.59,2017.59,59.649,565.707,10.5816
21139.1,18905,73280.9,633,605,68569.1,1341.69,583.153,1014.6,723.626,975.458,255.389,10.7012
19793.4,17360,74722.4,684.75,656,68408.2,725.676,731.128,273.578,524.263,935.896,116.582,10.7215
17639.2,14540,79504.8,1059.75,956,72648.3,1138.88,2999.49,3777.17,946.069,583.539,436.15,10.7407
12573.7,10153,81161,726,665,71547.6,675.096,3710.4,1792.15,1883.38,416.389,783.21,10.7898
15572.7,13284,76827.2,791.25,736,70455.6,699.345,3480.97,1417.29,737.529,1.44186,595.64,10.8602
20794,17689,77039.6,847.5,777,71482.3,309.317,4483.72,3107.07,2102,-58.2559,537.218,10.9434
26112.2,23568,72610.8,427.5,388,72207.8,3748.79,2972.9,4885.68,875.122,-7.54224,192.107,11.0213
20739.2,18038,75350,719.25,662,71203.6,1458.97,2942.71,686.554,81.7533,-90.2676,597.537,11.0566
20694.3,17459,77680.4,669.75,611,71837.5,11815.4,4017.69,1611.63,1995.29,502.142,508.046,11.0619
21512.7,18937,74449.8,791.25,714,72626.6,866.131,2684.9,1111.29,964.793,384.618,368.176,11.1313
47271.8,36080,85864.9,1008.75,868,76163,1305.83,5507.02,3527.23,3638.63,389.482,424.359,11.143
19146.6,16880,74336,783,708,72478.4,290.969,4002.85,1338.05,3167.34,432.74,319.097,11.207
23375.9,18823,81387.8,1165.5,1031,74085.6,3725.53,4556.73,3049.1,3219.09,-39.7883,757.523,11.2903
9850.5,9039,71419.7,327.75,335,64117.7,1124.92,531.342,46.5777,601.346,842.416,-204.872,11.3159
20165,17877,73923.6,726,673,70697.1,6021.37,3487.06,1549.51,1107.81,606.241,672.719,11.3372
16306,14401,74205.1,777.75,709,71890.9,1641.03,3056.36,1157.42,1129.58,272.832,965.117,11.3522
21895.5,19293,74376.4,761.25,701,71168.7,23753,3617.56,1015.37,1605.55,264.254,1040.02,11.4216
17482.1,15240,75177.5,812.25,748,71165.3,6744.05,2561.7,831.687,676.884,327.887,19.0506,11.5795
6169.02,5497,73547.9,610.5,585,68392.7,1215.6,507.985,936.89,858.957,721.054,323.539,11.6073
20788,18886,72136.2,656.25,598,71919.7,756.4,4064.57,1349.67,1177.13,349.546,361.935,11.6137
21979.3,19128,75305.1,696,648,70390.5,592.236,4788.1,2013.89,724.368,383.919,531.955,11.7641
17070.9,15377,72755.3,631.5,581,71232.3,22945.6,1997.71,20.9076,353.618,129.215,458.559,11.7727
24453.7,21608,74166.7,711,648,71907.6,5860.36,2777.96,1552.6,965.943,586.467,409.678,11.7834
8772.06,7594,75702.6,409.5,318,84393.1,199253,2404.15,242380,251150,203772,252927,11.8314
14510.1,12858,73956.6,620.25,586,69366.4,908.121,2571.51,766.249,-13.2082,609.979,717.465,11.8388
22261.8,19505,74798.7,696.75,625,73059.5,2424.7,2517.01,326.429,1058.3,10.9723,333.255,11.8495
15168.8,13908,71476.9,327.75,308,69738.4,575.524,373.66,-64.5474,181.431,629.266,-281.155,11.857
9659.1,8433,75064.5,763.5,705,70974.1,900.054,698.82,1582.04,1082.66,943.565,32.7432,11.9979
17849,15376,76076.7,823.5,756,71387.4,6039.64,3237.5,1286.3,1196.21,380.475,342.177,12.1281
8185.32,6888,77879.4,686.25,664,67732,399.941,574.245,625.529,922.903,750.572,-13.1692,12.206
14058.7,12121,76012.6,738.75,669,72368.8,634.144,4857.4,1920.45,1606.87,442.326,1095.11,12.2444
20620.4,17585,76848.3,673.5,625,70621.6,736.612,4899,2201.62,2140.58,500.585,992.48,12.2657
18003.5,16416,71873.5,534,484,72306.2,5787.74,2294.86,1080.59,519.723,308.119,372.336,12.3202
16257.8,14609,72932.4,710.25,645,72165.8,4959.76,2541.32,2072.01,699.157,-48.1647,476.794,12.3255
19980.8,17499,74830.8,279.75,287,63880.5,1112.05,1727.97,-322.644,43.4963,28.2425,-15.9615,12.3735
23692.7,19321,80364.6,942.75,761,81188,2253.96,1138.03,1116.85,110.282,618.43,297.1,12.7417
20168.9,16916,78138.6,983.25,884,72894,3548.7,4201.24,1761.3,1942.32,953.04,925.575,12.7663
16325.1,13356,80105,1050,940,73205.1,315.389,4400.34,3863.78,2823.54,124.783,898.205,12.7791
15324.5,10696,93895.8,663.75,520,83652.9,92.2314,3598.74,173.432,297.618,1003.29,45.9899,13.0352
17374.5,15589,73042.2,624.75,613,66792.2,240.543,2750.55,415.3,865.792,406.149,34.2513,13.0768
13068,11158,76754.3,826.5,754,71837.5,749.029,2715.66,1554.33,563.445,520.245,438.442,13.1121
26635,23305,74900.2,419.25,413,66527.8,999.23,3435.58,1862.2,1004.91,150.939,586.801,13.2049
8976.66,7561,77806.4,789,733,70542.8,1133.85,943.999,1033.61,743.663,957.695,311.714,13.2284
7933.86,6909,75257.4,302.25,301,65808.2,1294.97,151.627,108.872,5.47725,752.311,-51.657,13.2668
7216.44,6256,75597.3,565.5,308,120327,1391.78,215.572,637.409,-127.713,634.544,-76.0279,13.3362
10979.1,10041,71658.8,550.5,525,68719.2,929.858,578.78,-244.885,647.18,835.867,134.029,13.4077
20002.6,17481,74989.5,743.25,681,71526.6,1300.37,2840.69,1600.57,1655.92,401.837,781.106,13.4301
22035.4,19789,72975.6,558.75,537,68190.4,2667.59,2224.96,292.249,686.869,-2.17987,354.81,13.4792
18576.4,16884,72105,641.25,576,72960,12193.6,2707.96,757.303,-92.2046,421.652,485.887,13.4952
17835.8,16416,71204.3,390.75,352,72750.5,1713.29,538.987,1339.04,43.3649,362.258,-63.3891,13.5464
