Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
11607.3,790.15,1518.25,1782.41
27754.9,5964.5,4873.67,2544.03
31523.2,2050.58,1808.64,3662.05
14939.8,2132.43,1856.24,1536.24
11054.5,2430.07,3200.25,3838.32
16393.9,893.879,1773.2,4733.76
10807.6,1871.61,1494.62,1964.72
7962.4,1909.06,1480.04,1911.01
19596.4,1972.99,2151.12,1518.82
12669,286.77,1172.12,2011.1
9085.96,631.639,1115.36,1228.58
28048.9,1375.4,2395.71,2464.01
11310.6,1516.22,2478.23,2374.84
17332.5,2622.83,1799.84,2344.13
9894.14,2808.07,931.164,1172.86
30036.7,1158.14,2208.05,1309.68
7770.7,2261.1,1427.5,1209.37
32933.7,2293.87,2630.56,3387.31
30116.4,-113.564,2527.51,1819.08
26214.6,3767.46,2333.58,3165.51
19352,3453.23,2770.19,3099.43
13177.6,2370.09,1771.42,1731.3
8943.12,632.494,1657.28,1909.77
54925.6,2538,3231.83,3387.68
10530.9,878.439,1030,2135.07
11600.7,773.395,839.039,2621.2
12253.6,1592.76,2951.82,3323.41
22534.5,1992.38,3461.47,3902.25
22400.6,1880.14,3543.96,2417.27
14293.4,1181.6,1829.83,4386.61
14929.6,4149.33,2966.49,3542.26
56038.8,2431.4,2747.66,2823.98
10249.6,-70.6537,1217.55,1876.96
11764.1,5885.1,2200.08,5312.69
13817.2,2301.1,1914.67,1666.81
12371.5,4949.11,2532.11,5530.91
6855.64,685.828,1215.77,917.047
67731.6,3852.74,1604.01,4704.51
8857.72,1227.77,1984.08,1507.34
30613.9,1921.58,4781.61,3694.36
10720.6,335.067,1560.85,1105.51
14517.8,2359.25,2180.8,2743.37
10932.5,2016.27,1385.93,4143.17
14397.1,9640.78,3850.27,965.074
14031.4,9666.06,4296.06,11113.4
8208.83,1235.9,1572.42,1801.17
9829.48,1311.17,1899.38,2810.37
10868.8,1856.39,1442.68,2842.56
12587,1537.98,1886.22,1390.97
31523.6,1476.1,1769.54,966.954
9373.09,2406.79,1033.92,1973.8
12380.8,64.1669,2081.83,2417.44
20146.8,2257.21,3647.28,4808.98
14188.5,1240.18,2440.83,5138.06
22342.8,2065.22,3154.04,3657.41
12593.4,3703.64,1487.52,2299.95
12514.5,1220.87,1416.76,770.785
13437.4,954.893,1775.94,2184.71
27748.8,2533.91,3013.83,1857.23
27164.6,3042.72,2299.49,2503.16
9033.46,1087.07,859.798,1298.97
17885,4936.21,1814.36,2765.47
10086.1,775.471,1341.97,1943.58
8116.54,1644.39,1154.17,934.367
18210.9,-694.876,2167.57,2104.93
12798.7,1664.08,1479.03,3505.77
10303.5,1519.88,1451.06,2060.4
17497.5,2152.75,2332.48,1307.08
12262.1,591.468,1354.1,4275.17
21036.2,2650.66,3386.98,1752.63
25962.1,547.398,1363.12,1834.94
13527.9,1315.77,2186.84,2327.03
15467.5,3688.56,3108.65,5085.03
8674.92,1424.39,1140.95,1141.64
48056,2309.42,2168.35,3222.21
8326.34,415.657,1032.08,746.406
11612.8,1133.36,957.176,1834.81
11052.6,1229.21,1690.54,866.924
28048.7,542.529,1753.69,1844.17
22745.4,2764.55,2270.3,1954.7
8327.94,1033.96,758.764,1737.74
9341.17,-693.374,1295.27,1223.73
11761.4,903.309,1237.12,2099.36
14762.8,5054.25,2341.06,1965.87
13496.9,1595.95,1245.71,661.647
15270.2,569.309,2123.57,1330.81
34178.1,1545.5,2672.64,2370.06
16896.3,1410.38,2556.74,2866.3
32156.1,996.322,2180.05,2203.39
7967.39,785.295,2161.14,2408.35
12921.4,1953.81,1236.77,1977.81
8727.73,844.242,823.45,1508.15
11427.7,4084.94,1222.95,1129.98
11796.3,-403.154,1231.96,724.489
13742.1,1249.77,723.96,1865.76
9995.33,2461.25,1520.57,2135.49
12515.3,905.304,1867.11,1776.53
15732.7,2196.78,1425.4,1957.46
29661.4,638.806,2059.6,598.177
26827.4,2221.53,3948.92,2483.31
11649.9,-739.409,1978.98,1547.96
14904,1709.45,1098,1179.93
19853.8,1543.74,2312.17,3281.34
13769.3,1223.58,1222.65,2269.6
10704.7,-428.745,996.853,1274
16342.7,2697.55,1324.5,3932.16
36962.5,1504.48,2014.81,2284.69
16325.2,1198.73,3009.53,4679.37
39602.4,8327,5287.61,2219.45
12891.6,1483.65,1878.73,1668.12
32922.8,4866.4,2235.72,2013.94
9412.12,-503.475,1179.05,796.891
43979.6,2534.12,2135.82,841.063
14407.3,3328.4,1977.24,2340.61
9201.64,820.326,1425.2,1550.03
11134.7,660.057,1380.91,1308.44
12274.6,2214.48,1495.79,2491.8
55817.2,4320.73,1966.17,4038.76
12301.8,1288.91,1113.57,2887.84
14973.7,1823.84,1484.35,1915.01
15305.4,4422.18,2806.7,1200.01
11550.1,295.295,1270.8,3289.51
9743.07,1159,1170.87,2228.71
7715.7,383.428,1306.02,1393.17
21353.8,2556.21,1184.67,926.138
29253,3267.11,3362.61,5784.45
43088.3,1806.56,2297.04,2731.15
11188.9,1073.44,1473.74,3716.62
24787.2,1323.49,1887.86,1951.5
33390.7,4697.67,1820.56,3755.98
23757.4,2959.98,4633.21,4824.33
17848,6423.14,3736.71,12140.1
19870.5,1321.45,1466.97,1552.11
13393,3348.06,1640.61,3546.4
10002,228.312,1125.43,1681.25
10755.9,2741.77,926.254,1732.11
19890.3,2372.89,1785.66,4240.87
8579.85,-272.97,1295.36,2031.03
44438.4,4588.09,2482.51,2896.82
17584.7,4458,2537.99,5099.67
27268.2,3701.33,3066.88,2081.93
10855.9,1732.98,1371.89,1872.34
18077.2,1635.59,2673.27,4434.71
17467.8,1747.84,1487.64,2717.83
11428.2,-387.726,1522.68,2567.81
27887.2,7280.17,4046.14,5211.77
16075.1,1628.82,1646.83,3551.26
10291.7,2397.66,2471.56,1815
17219.9,2249.7,4200.31,1514.24
11325,23.9697,1221.43,2249.85
29703.3,9468.22,5291.52,4683.14
43619.7,3068.99,2400.95,2053.53
16255.1,1737.19,987.046,2627.28
11896.9,-853.939,714.68,2769.08
12827.3,1255.75,1666.29,1699.99
21094.9,5802.86,6017.61,1352.02
13101.1,2805.6,2623.16,2363.43
10068.2,1112.34,1513.91,2010.77
21254.7,2485.14,1520.23,1776.79
9499.53,1722.89,1134.59,1042.78
22207.3,1757.06,4083.52,2783
17981,2100.14,1944.85,3956.59
8968.04,349.223,1488.55,1220.46
15174.7,1443.94,1392.96,3152.8
10811.3,480.743,1081.83,2594.83
12436.1,3275.42,1639.4,3964.63
9789.2,4110.26,1873.4,1748.37
13821.3,-560.102,2493.75,2780.45
20532.8,4922.34,4027.3,7155.88
12279.7,907.09,1718.26,3049.9
7299.82,-856.773,1284.86,1473.07
12925.2,1412.12,1252.7,2923.06
10300.1,-582.48,1101.45,968.212
13596.8,3054.53,2439.91,2598.84
28700.3,459.531,2656.12,1596.04
12630,449.939,1195.3,2546.18
41665.4,3536.49,3138.05,2265.42
11151.1,582.436,1287.64,1788.11
8023.89,2254.57,1139.85,1347.71
14081.2,3200.23,1600.4,1596.11
10021,752.898,1900.05,1715.31
20405.5,2023.69,2720.42,1858.51
11139.2,1920.72,1759.74,2879.05
9293.13,-190.893,1616.07,1807.77
7926.2,708.803,862.766,1040.99
13907.9,2409.74,1495.22,5502.21
9139.72,1030.18,710.349,2252.09
12810,1688.4,1398.95,2094.97
11889.9,-723.786,1481.84,1050.46
10612.4,343.951,1673.11,1303.94
19909.2,2265.72,3074.38,2328.03
9966.35,545.693,1517.21,1286.84
15486.6,384.617,3106.93,2335.27
12301.2,209.156,2149.91,2296.47
29089.7,1324.65,3418.86,1608.85
18266.4,2007.31,2497.39,1729.58
20722.3,1592.02,1555.21,1877.62
32032.9,437.483,2267.37,3129.35
8856.29,1931.17,1101.16,2231.5
10617.4,3958.35,2319.72,1382.95
33972.2,1822.41,2451.9,2272.18
11506.9,2569.77,2200.87,2391.41
11969.4,1743.97,2390.8,2468.65
11490.7,1623.98,1959.96,2712.65
24540,4657.62,5646.17,2076.24
20391.3,1757.85,1696.14,1920.83
22968.6,2590.01,5082.95,3970.05
45062.4,214.058,2071.47,3280.64
7917.22,70.7777,609.168,543.485
12872.4,3951.59,1511.15,1544.68
40684.8,3124.73,2213.11,2401.2
42302.7,2453.85,3018.1,7940.57
38081,5681.46,7339.46,3775.47
32099.7,2364.95,4228.6,1998.73
12610.8,2222.58,1417.45,2768.6
15544.9,477.835,1057.76,2016.45
19349.8,4582.72,2523.59,3849.58
11441.8,4145.82,2822.49,4191.75
35300.9,-610.175,1668.04,1090.44
34314.5,6190.44,6873.98,13274.9
18997.2,4593.57,2911.9,4441.38
37050.3,-198.49,2375.93,2029.21
9772.09,3056.74,2677.84,2014.41
20029.7,2450.46,1926.48,3283.05
10417.9,2048.19,1138.35,2234.88
12367.9,3100.53,1517.34,4092.87
30984,482.478,2010.59,1792.28
8262.65,-180.746,1266.05,2025.64
14210.9,1722.94,2137.23,2005.94
15180.1,-612.557,1839.09,4105.6
11608,917.576,1260.5,1496.78
65678.7,2509.66,2339.01,1499.04
13833.9,3066.71,3051.09,4738.67
10563.1,-224.231,1232.63,1906.82
9436.33,935.915,1007.25,1481.62
9316.73,2133.03,981.1,1148.89
11951.5,3445.34,1292.07,1773.05
8972.63,845.262,673.323,1368.94
7804.28,1878.34,1102.24,959.752
14266.7,1218.13,1662.46,3930.21
10291.8,2239.71,1228.4,1507.91
15599.1,815.104,2105.39,2832.01
8631.09,2247.85,1484.33,1636.01
34637.1,3689.22,3597.94,4131.83
18312.6,3225.99,2985.34,2240.8
15007.9,998.088,1845.72,4733.19
33930.5,8529.02,8839.46,18637.9
15202.2,2674.07,1974.1,1745.84
11599.9,-412.071,1248.68,1540.46
8821.29,2782.8,1054.66,1754.53
11006.3,1281.48,1012.91,1413.86
31950.1,4986.86,2621.77,3495.12
10385.6,775.826,1452.35,2052.92
6661.1,-8.16055,742.32,1098.42
10393.1,3255.12,1172.71,2099.47
43899.6,8149.89,5781.6,2652.31
11018.4,2642.62,1602.42,1607.24
30044.8,1663.69,2565.57,2494.47
17485.6,325.308,2451.88,3611.56
15341,2413.05,1315.45,1777.19
11972.9,3419.23,2371.14,1789.98
34210.4,1380.19,2434.15,2531.83
9795.33,1860.84,2071.78,2130.38
