FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.23E+06,840787,878444,289118,495725,366712,811086,233317,743497,746.396,68142,71030.3,28080.3,12244.5,9452,1118.54,0
1.57E+06,1.12E+06,841081,213666,385054,305208,756966,183609,698221,1900.39,30689.3,114962,23356.7,8677.24,7933.87,1707.78,0.0167
1.73E+06,1.31E+06,794363,137583,229496,190891,721343,117650,701654,1703.08,39036.5,177186,85538.9,7057.27,44728,2499.78,0.0303
1.79E+06,1.33E+06,810590,256204,422282,317113,798988,211772,725887,2015.98,17705.6,59130.1,14235.7,13012.9,6130.83,2087.95,0.0511
1.56E+06,1.15E+06,814734,213963,414395,310263,801375,173551,739711,1875.65,29339.9,70914.1,12425.8,12008.8,6402.41,2189.89,0.0737
1.38E+06,968633,853932,300953,477430,339640,843417,223156,809173,2755.11,9339.93,52514.4,12771,10778,8729.71,2201.55,0.0785
1.36E+06,946917,859640,326162,535765,394964,813894,265567,736902,1201.25,22617.6,66842,23683.8,8846.91,6565.7,1405.5,0.0876
1.50E+06,987201,909633,202024,284505,212091,804858,166130,729635,2200.95,308060,53093.5,31897.6,3684.82,12458.7,2676.6,0.1052
943233,460552,1.23E+06,725415,877231,437928,1.20E+06,400473,1.09E+06,4753.46,20600.4,187683,66024.4,24449,15705.8,3696.61,0.1097
1.66E+06,1.10E+06,899772,242395,382864,265760,864382,188845,770141,2776.05,6295.96,75706.5,23211,16163.3,12835.2,1757.91,0.1138
1.39E+06,1.00E+06,833161,320024,566437,407849,833304,249895,768379,1861.91,16465.4,72555.5,34329.5,17964.1,9775.47,1890.06,0.1975
2.17E+06,1.35E+06,960568,460753,788137,521768,906308,353383,782300,3383.51,137280,78897.3,22700.5,23153.4,13996.9,4442.8,0.2605
1.57E+06,1.03E+06,910429,424274,740489,506118,877845,323230,787564,2511.88,30216.5,86425.9,20986,19222.8,12097.7,2904.73,0.2623
1.22E+06,826082,886538,284814,479246,336636,854180,225087,759209,1436.86,41993.5,52083.6,13833.4,9010.76,6367.52,1621.59,0.372
