FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.16E+06,753973,923972,482284,775508,512849,907295,352851,820092,3207.89,61798.2,80722.2,29349.1,22836.5,15923,2347.79,0.6636
1.71E+06,1.27E+06,809812,270499,477359,375495,762768,225247,720538,1708.54,29340.1,75470.6,23427.6,6638.27,8507.56,1297.47,0.6777
1.20E+06,825257,873949,284564,524938,370166,850869,224840,759378,1469.88,2044.27,56987.6,14880.8,15607.9,9010.35,1226.46,0.6845
1.60E+06,1.10E+06,874266,313462,612602,439552,836218,243371,772802,3027.19,271911,65349.4,35997.8,15019.2,8142.51,2521.72,0.6953
1.37E+06,957270,856132,371201,676035,475259,853473,284073,784027,2962.74,91556.3,91310.7,25420.2,25287.8,14187.9,2618.5,0.7051
1.28E+06,848168,905211,237820,438967,330814,796158,197908,721001,2222.81,1404.55,77488,9286.97,9477.31,9491.73,1113.29,0.7076
1.41E+06,943314,896850,352447,665321,468887,851362,272447,776181,2304.23,42676.6,96342.9,27359.8,21827.7,27490.2,1288.93,0.7105
1.32E+06,1.01E+06,784205,251261,398184,317743,751898,210542,716040,1525.36,31291.3,57741.2,13574.7,13434.1,6824.17,1039.59,0.7144
1.76E+06,1.26E+06,842148,257446,431577,317366,815923,211616,729943,1947.56,7595.62,51862.7,30867.8,6584.33,8609.4,2172.94,0.7192
2.17E+06,1.43E+06,910532,308897,518507,342966,907099,222272,833834,2233.28,127690,86358.4,17820.5,17786,12230.2,1954.56,0.7329
1.54E+06,1.08E+06,856556,333882,484817,349627,832002,259096,773185,2596.85,5834.36,69114,13231.6,15484.6,9890.02,1002.89,0.7433
1.41E+06,987569,858433,406673,539510,377076,858463,301663,808862,3391.48,9978.09,74076.2,23809.6,15907.7,10763.6,1769.47,0.7508
1.16E+06,787808,885817,425554,535742,379793,846369,316602,806478,3091.53,35881.5,79970.1,25865.6,24030.9,10597.4,1615.49,0.7576
1.33E+06,944442,846826,240397,388559,283845,821347,189743,760178,1366.05,32978.6,55216.4,6445.48,15578.3,7415.97,1194.57,0.7594
1.79E+06,1.21E+06,886266,321288,559050,391889,855931,253154,761484,1476.98,19895.3,107308,57004,10797.4,29239.1,1203.93,0.7783
1.48E+06,1.09E+06,815304,259499,439302,328953,801273,209481,743262,1565.46,48995.3,51545.9,13011.2,14672.6,8948.33,1579.72,0.7803
1.47E+06,1.04E+06,846105,290169,531232,406789,783548,246039,707617,1208.99,55318,69732.8,32545.6,16192.5,22788,1254.95,0.7852
1.34E+06,926780,869089,294481,545659,416949,785217,239968,736301,1773.53,10633.4,75732.8,21306.5,15706.3,8884.62,2154.34,0.8026
1.58E+06,1.17E+06,810395,303507,527971,414112,764968,260522,698998,3225.98,267061,53667.2,10300.3,7684.82,7749.28,2497.85,0.8101
1.76E+06,1.27E+06,831846,271559,510233,385261,794629,218469,745806,2356.9,28782.4,86547.7,20773,25793.4,10380.8,1701.88,0.8364
1.36E+06,969275,840083,358579,620984,427132,872307,264605,813088,2655.76,260652,89060.4,21545.2,18711.9,14090.3,2835.41,0.8483
1.56E+06,1.21E+06,775476,186163,357833,267623,802247,150998,739732,1635.16,10762.2,87008.2,19446.7,13894,7469.93,1324.97,0.8483
1.30E+06,957235,816260,277058,358332,267494,803754,217144,765550,2589.48,15699.6,38077.3,11855.1,8029.54,7487.99,1059.43,0.8518
1.54E+06,1.12E+06,824711,285775,401256,312036,771557,243022,705552,1441.39,25382,61557.5,17424.6,11530.6,10297.8,520.515,0.8615
1.35E+06,890906,912039,356835,626696,437639,859196,276154,775296,3035.81,3909.64,92881.3,39143.3,16206,12326.7,1835.45,0.8703
1.93E+06,1.29E+06,899481,362999,636900,440660,867199,282364,771343,1910.34,112246,84521.8,19832.8,16492,8767.04,2799.39,0.9023
1.51E+06,1.11E+06,815507,237192,298204,223128,801883,193954,733758,1552.52,1652.58,51974.6,7133.26,15287.3,6599.8,587.511,0.9036
1.57E+06,1.11E+06,850201,294751,515466,364535,848422,222704,794105,1787.37,28124.8,55071.4,18296.8,16999.2,10117.6,1964.35,0.9087
1.46E+06,1.03E+06,851146,301404,563143,420326,803867,239481,755143,2651.79,11605.7,71670.1,12916.1,16848.3,9747.26,2664.44,0.9294
1.52E+06,1.15E+06,790772,188176,363254,283478,768851,155440,726361,1030.79,26438.3,52463.1,9499.97,16417.7,7494.94,1358.79,0.9353
1.73E+06,1.22E+06,851233,370960,489393,374589,783887,308764,720860,1907.96,23787.6,64176.4,12620,15285.5,7340.98,794.047,0.9434
1.64E+06,1.14E+06,861889,355905,603314,431567,838777,273748,780070,3716.52,119275,69669.7,15494.1,17249.4,12682,2061.35,0.9644
1.41E+06,930869,911167,360389,610377,418196,875728,279773,772888,2021.78,28573.9,79157.7,18686,25220.9,11669.4,1721.8,0.9657
1.37E+06,1.02E+06,806342,203699,388178,306051,761007,167930,727799,1853.36,52478.4,62478.1,16645.9,14521.9,13770.5,545.415,0.9724
1.54E+06,1.13E+06,815801,241383,399615,313315,765266,203330,712290,2400.55,77450.9,63432,10980.9,14763.1,9400.76,2197.97,0.9761
1.89E+06,1.38E+06,822472,203653,364287,271988,803609,165872,736663,2140.96,59429.4,67906.8,12070,19183.5,9368.52,2328.55,1.0009
1.21E+06,835658,867048,311422,352568,254447,831374,247369,755362,2186.68,3714.39,55792,17970.9,13848.2,10389,1704.29,1.0136
1.55E+06,1.11E+06,840812,249765,470827,347073,813938,197634,758266,1599.78,2961.32,63429.3,11617.1,16119.2,9630.67,1735.32,1.0209
1.73E+06,1.21E+06,855864,363061,675669,444976,911064,269414,808556,2300.06,102949,82619.9,18787.7,20911.4,13580.3,2784.64,1.0409
1.57E+06,1.17E+06,802496,186003,345881,262225,791415,149546,746269,2452.56,19464.4,54463.9,12486.9,12243.4,6684.18,2581.69,1.0428
1.54E+06,1.11E+06,831144,228758,410539,317006,777030,194139,706993,1802.57,27541.7,95573.9,22547.4,9981.69,19703.7,611.699,1.0539
670781,443194,908110,262394,365429,263836,831036,207297,759471,1609.11,4334,70901.2,19910,12823.5,7871.78,830.453,1.1156
1.58E+06,1.17E+06,810927,215267,326841,250115,784057,179929,717841,1683.43,11580.1,104906,13989.6,18348.8,10442.4,851.178,1.1377
1.36E+06,962781,845335,293251,437853,306893,856038,228078,771450,2160.4,13951.5,65838.8,13959.6,20714.2,10756.4,921.869,1.1573
1.28E+06,876918,874508,301861,474242,335275,848692,238776,758521,1726.63,50871.1,66706.6,16115.5,17927.1,11855.8,1901.91,1.2032
1.37E+06,910856,901986,335752,549418,391281,842492,261776,769555,3490.22,14434.2,130413,30058.4,34161.9,14065.8,2245.93,1.2506
2.56E+06,1.61E+06,952833,371140,638377,418989,914168,264908,840608,3538.86,35359.2,75189.1,18840.8,13914.1,15969.4,3777.32,1.2549
1.42E+06,1.04E+06,820232,248822,416627,311570,802311,205738,725647,2466.9,4175.98,90258,22602.9,16082,8844.54,1450.62,1.2565
1.74E+06,1.17E+06,892190,301984,526491,376812,838334,231812,781626,2723.88,11945.3,115207,37759.8,19562.8,12890.5,698.795,1.2786
1.37E+06,988275,831940,312413,631644,479956,789628,249812,750355,1907.98,60172.2,67142.8,32133.2,24430.7,8923.52,1526.08,1.2914
1.73E+06,1.18E+06,880739,233917,366244,261493,840352,187429,748817,4315.96,45901.7,119224,40374.5,6072.86,9794.18,3838.48,1.2936
1.58E+06,1.15E+06,822478,246152,387381,292868,793630,202672,728721,1931.91,15832.1,91410.3,15601.7,20946.6,7664.88,1457.25,1.3099
1.45E+06,1.06E+06,820432,202638,346707,264777,785657,167131,727470,911.155,29534.8,82611.2,9564.61,16117.8,8224.82,1211.82,1.342
985542,574765,1.03E+06,432836,825364,528047,937830,298088,871225,2553.4,17929.6,103443,28354.4,27070.6,15683.5,1813.58,1.3546
1.96E+06,1.38E+06,852513,185898,321721,244527,789413,155940,715269,1744.41,3094.23,155675,39118.5,14920.7,12238.3,861.165,1.3614
1.98E+06,1.25E+06,953004,265708,466692,315497,887537,199117,800659,2267.07,5855.76,52667.5,16694.4,24564.1,11549.5,2771.38,1.3649
980535,683193,861135,317650,422310,307814,823179,250449,760992,2530.06,12600.9,48749.9,11631,10240.1,6080.06,1122.81,1.3681
